Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.74222221
Longitude: -53.37222221
Altitude: 7.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;32;1007.108333;20.720833;23.6;22.204167;21.3;91.458333;83;15.5;8.65;
2020-01-02;1.2;1015.195833;19.129167;25.3;22.120833;20.4;83.375;73;15.7;8.633333;
2020-01-03;.2;1019.570833;18.125;26.2;22.620833;19.9;76.208333;62;13;7.304167;
2020-01-04;0;1015.045833;17.158333;27;22.879167;20;70.458333;60;11.1;5.829167;
2020-01-05;0;1007.275;18.35;28.1;22.366667;17.8;78.666667;60;11.1;4.075;
2020-01-06;0;1001.529167;19.508333;30.5;23.629167;20.8;78.5;56;14.2;5.216667;
2020-01-07;1.4;1006.683333;14.908333;25.8;21.2125;15.6;69.708333;40;10.4;4.1625;
2020-01-08;0;1009.629167;16.516667;30.1;22.2375;16.3;70.875;43;11.4;3.9125;
2020-01-09;0;1007.7875;20.116667;30.3;23.266667;19.1;83.208333;58;10.7;2.791667;
2020-01-10;.4;1008.4375;22.420833;28.1;24.4375;22.2;88.791667;77;6.6;3.983333;
2020-01-11;0;1010.5875;20.408333;27.5;24.1375;21.8;80.375;64;6.9;4.116667;
2020-01-12;0;1013.9375;17.2375;27.7;21.695833;16.4;76.541667;58;13.8;4.925;
2020-01-13;0;1017.033333;15.541667;26;21.895833;19;67.583333;56;12.5;4.8125;
2020-01-14;0;1011.708333;18.858333;26.9;23.004167;18.9;77.625;64;15;5.391667;
2020-01-15;.8;1002.758333;22.358333;28;24.170833;23;89.875;80;19.7;5.016667;
2020-01-16;20.6;1014.366667;12.175;21.9;19.354167;14.4;63.666667;50;19.3;9.233333;
2020-01-17;0;1020.216667;10.966667;22.9;18.475;12.2;62.416667;35;13.5;4.141667;
2020-01-18;0;1018.541667;14.704167;26.5;20.225;13.9;71.458333;48;10.2;4.1125;
2020-01-19;0;1014.570833;19.795833;26.9;22.0625;19;87.333333;73;10.7;3.770833;
2020-01-20;.4;1010.475;21.7875;27;23.370833;20.6;91.208333;79;8.1;3.379167;
2020-01-21;0;1009.379167;21.795833;27.5;23.279167;21.3;91.708333;78;9.6;4.525;
2020-01-22;0;1013.3625;20.983333;28.4;24.025;21.4;83.833333;66;10.4;5.191667;
2020-01-23;0;1015.883333;19.966667;28.3;23.795833;20.9;79.666667;64;10.4;5.208333;
2020-01-24;0;1012.3625;19.1375;28.3;22.854167;15.8;80.25;58;10.9;4.129167;
2020-01-25;0;1005.958333;19.066667;33.9;23.208333;20;79.416667;43;19.2;4.591667;
2020-01-26;5.6;1006.470833;17.604167;29.5;21.175;14.3;81.5;45;10.1;2.85;
2020-01-27;4;1010.316667;17.504167;23;21.245833;20.1;79.958333;62;17;8.141667;
2020-01-28;0;1012.833333;15.579167;25.9;21.65;18.9;68.875;55;12.2;5.7875;
2020-01-29;0;1008.008333;20.6375;28.4;23.116667;19.4;86.416667;68;12.7;3.916667;
2020-01-30;35.2;1009.141667;20.466667;24.9;21.929167;19.3;91.75;80;15.3;6.833333;
2020-01-31;.4;1012.583333;18.170833;26;22.483333;19.6;77.25;63;10.1;5.3875;
2020-02-01;0;1014.158333;16.108333;26.7;21.75;16;71.25;55;9.8;3.9875;
2020-02-02;0;1014.379167;20.729167;29.1;23.420833;18.8;85.541667;66;10.6;4.175;
2020-02-03;0;1016.65;20.379167;27.1;23.833333;20.9;81.25;68;11.9;5.429167;
2020-02-04;0;1015.7125;20.970833;27;24.216667;22.4;82.125;72;17.4;8.091667;
2020-02-05;0;1013.483333;21.3;27.9;24.7;22.5;81.416667;73;17.4;7.858333;
2020-02-06;0;1013.783333;22.733333;28.2;25.425;23.5;85.208333;76;15.8;6.808333;
2020-02-07;0;1013.341667;23.2125;28.3;25.695833;24.2;86.333333;73;13.6;5.425;
2020-02-08;0;1011.383333;21.725;25.6;23.020833;22.4;92.541667;81;14;5.254167;
2020-02-09;6;1014.741667;16.75;23.4;21.745833;20.5;73.333333;59;14.9;9.766667;
2020-02-10;2.4;1018.8625;15.529167;25.5;20.333333;13.8;75.083333;53;13.1;4.5;
2020-02-11;3.6;1020.379167;16.254167;25.7;21.2875;15.9;73.666667;59;11.7;4.770833;
2020-02-12;0;1018.633333;17.133333;26.5;23.05;18.9;69.458333;59;12.9;6.970833;
2020-02-13;0;1014.504167;19.645833;26.4;23.333333;19.3;79.958333;67;16;6.916667;
2020-02-14;8.2;1008.691667;20.720833;28.1;23.05;21.2;86.916667;72;18.4;5.070833;
2020-02-15;51.2;1008.5875;21.5125;26.7;23.441667;19;89.375;76;9.4;3.341667;
2020-02-16;0;1007.55;23.445833;30;25.620833;21.8;88;75;9.5;3.1875;
2020-02-17;0;1004.945833;23.329167;31.4;27.133333;24.4;80.458333;60;11.6;3.65;
2020-02-18;1.8;1003.404167;21.2875;26.5;23.783333;21.9;86.083333;74;14;5.25;
2020-02-19;3.8;1008.683333;18.591667;25.5;21.85;18.7;82.291667;68;10.7;4.058333;
2020-02-20;0;1011.095833;15.408333;22.4;19.916667;18.2;76.166667;57;19.5;7.579167;
2020-02-21;0;1015.825;11.616667;20.5;15.920833;12;76.458333;53;19.6;7.995833;
2020-02-22;1;1019.545833;12.904167;21.4;18.208333;11.8;71.333333;59;19.4;8.966667;
2020-02-23;0;1018.854167;15.5375;25.3;19.504167;13.3;78.75;62;9.9;3.895833;
2020-02-24;0;1010.770833;17.383333;25.8;20.779167;15.5;81.458333;63;10.7;4.166667;
2020-02-25;0;1006.483333;18.054167;27.6;21.258333;18.5;82.791667;57;16.8;6.6125;
2020-02-26;.2;1011.758333;13.891667;22.4;19.9875;17.5;68.291667;53;16.1;7.458333;
2020-02-27;0;1013.295833;12.883333;27.9;19.520833;11.7;68.083333;38;11.6;3.625;
2020-02-28;0;1014.5;15.316667;31.8;22.8;16.3;64.833333;31;8.7;4.091667;
