Nome: CUIABA
Codigo Estacao: A901
Latitude: -15.559295
Longitude: -56.062951
Altitude: 241.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.599;
2020-01-01;0100;-3.508;
2020-01-01;0200;-3.564;
2020-01-01;0300;-3.6;
2020-01-01;0400;-3.574;
2020-01-01;0500;-3.55;
2020-01-01;0600;-3.574;
2020-01-01;0700;-2.359;
2020-01-01;0800;-2.907;
2020-01-01;0900;-3.598;
2020-01-01;1000;66.593;
2020-01-01;1100;542.036;
2020-01-01;1200;1430.501;
2020-01-01;1300;2556.363;
2020-01-01;1400;3190.22;
2020-01-01;1500;3661.209;
2020-01-01;1600;3163.96;
2020-01-01;1700;2139.625;
2020-01-01;1800;2694.156;
2020-01-01;1900;1634.389;
2020-01-01;2000;135.018;
2020-01-01;2100;111.822;
2020-01-01;2200;76.786;
2020-01-01;2300;.257;
2020-01-02;0000;-3.576;
2020-01-02;0100;-3.424;
2020-01-02;0200;-3.514;
2020-01-02;0300;-3.503;
2020-01-02;0400;-3.211;
2020-01-02;0500;-2.969;
2020-01-02;0600;-2.985;
2020-01-02;0700;-3.422;
2020-01-02;0800;-3.518;
2020-01-02;0900;-3.416;
2020-01-02;1000;92.226;
2020-01-02;1100;697.169;
2020-01-02;1200;1515.655;
2020-01-02;1300;1355.23;
2020-01-02;1400;2467.836;
2020-01-02;1500;2730.24;
2020-01-02;1600;3880.687;
2020-01-02;1700;3298.645;
2020-01-02;1800;2412.11;
2020-01-02;1900;3018.709;
2020-01-02;2000;1398.513;
2020-01-02;2100;717.512;
2020-01-02;2200;169.824;
2020-01-02;2300;1.883;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.598;
2020-01-03;0200;-1.909;
2020-01-03;0300;-3.6;
2020-01-03;0400;-3.6;
2020-01-03;0500;-3.6;
2020-01-03;0600;-3.589;
2020-01-03;0700;-3.6;
2020-01-03;0800;-3.451;
2020-01-03;0900;-3.458;
2020-01-03;1000;79.553;
2020-01-03;1100;523.687;
2020-01-03;1200;null;
2020-01-03;1300;866.622;
2020-01-03;1400;393.362;
2020-01-03;1500;1819.144;
2020-01-03;1600;2673.075;
2020-01-03;1700;3438.281;
2020-01-03;1800;1459.839;
2020-01-03;1900;1010.356;
2020-01-03;2000;2399.645;
2020-01-03;2100;1589.075;
2020-01-03;2200;328.732;
2020-01-03;2300;30.668;
2020-01-04;0000;-3.6;
2020-01-04;0100;-3.6;
2020-01-04;0200;-3.6;
2020-01-04;0300;-3.6;
2020-01-04;0400;-3.6;
2020-01-04;0500;-3.298;
2020-01-04;0600;-3.125;
2020-01-04;0700;-2.997;
2020-01-04;0800;-2.933;
2020-01-04;0900;-3.183;
2020-01-04;1000;72.07;
2020-01-04;1100;540.496;
2020-01-04;1200;1061.785;
2020-01-04;1300;2220.431;
2020-01-04;1400;3091.351;
2020-01-04;1500;3606.93;
2020-01-04;1600;2749.87;
2020-01-04;1700;2114.937;
2020-01-04;1800;2199.888;
2020-01-04;1900;1393.299;
2020-01-04;2000;1705.992;
2020-01-04;2100;813.245;
2020-01-04;2200;244.359;
2020-01-04;2300;10.936;
2020-01-05;0000;-3.588;
2020-01-05;0100;-3.599;
2020-01-05;0200;-3.6;
2020-01-05;0300;-3.6;
2020-01-05;0400;-3.6;
2020-01-05;0500;-3.6;
2020-01-05;0600;-3.6;
2020-01-05;0700;-3.6;
2020-01-05;0800;-3.6;
2020-01-05;0900;-3.6;
2020-01-05;1000;51.454;
2020-01-05;1100;373.377;
2020-01-05;1200;1687.791;
2020-01-05;1300;2435.46;
2020-01-05;1400;2528.146;
2020-01-05;1500;3247.034;
2020-01-05;1600;3982.899;
2020-01-05;1700;2881.284;
2020-01-05;1800;2258.369;
2020-01-05;1900;2132.557;
2020-01-05;2000;1688.503;
2020-01-05;2100;665.543;
2020-01-05;2200;247.112;
2020-01-05;2300;90.475;
2020-01-06;0000;-3.6;
2020-01-06;0100;-3.6;
2020-01-06;0200;-3.6;
2020-01-06;0300;-3.6;
2020-01-06;0400;-3.6;
2020-01-06;0500;-3.302;
2020-01-06;0600;-2.442;
2020-01-06;0700;-3.242;
2020-01-06;0800;-3.6;
2020-01-06;0900;-3.333;
2020-01-06;1000;32.478;
2020-01-06;1100;462.545;
2020-01-06;1200;1257.086;
2020-01-06;1300;2151.423;
2020-01-06;1400;1973.733;
2020-01-06;1500;2514.145;
2020-01-06;1600;3099.735;
2020-01-06;1700;3087.94;
2020-01-06;1800;2068.099;
2020-01-06;1900;2808.624;
2020-01-06;2000;2183.794;
2020-01-06;2100;1380.47;
2020-01-06;2200;333.267;
2020-01-06;2300;16.046;
2020-01-07;0000;-3.6;
2020-01-07;0100;-3.534;
2020-01-07;0200;-2.654;
2020-01-07;0300;-3.05;
2020-01-07;0400;-3.18;
2020-01-07;0500;-1.309;
2020-01-07;0600;-.084;
2020-01-07;0700;-.829;
2020-01-07;0800;-.366;
2020-01-07;0900;-3.205;
2020-01-07;1000;78.486;
2020-01-07;1100;592.498;
2020-01-07;1200;1559.839;
2020-01-07;1300;1974.586;
2020-01-07;1400;2456.286;
2020-01-07;1500;2841.222;
2020-01-07;1600;3823.9;
2020-01-07;1700;2965.437;
2020-01-07;1800;2510.797;
2020-01-07;1900;2823.339;
2020-01-07;2000;1791;
2020-01-07;2100;1125.935;
2020-01-07;2200;301.639;
2020-01-07;2300;11.876;
2020-01-08;0000;-3.6;
2020-01-08;0100;-3.6;
2020-01-08;0200;-3.6;
2020-01-08;0300;-3.6;
2020-01-08;0400;-2.877;
2020-01-08;0500;-1.977;
2020-01-08;0600;-1.937;
2020-01-08;0700;-3.269;
2020-01-08;0800;null;
2020-01-08;0900;-3.188;
2020-01-08;1000;23.885;
2020-01-08;1100;335.02;
2020-01-08;1200;624.936;
2020-01-08;1300;1110.798;
2020-01-08;1400;1647.161;
2020-01-08;1500;1989.534;
2020-01-08;1600;1842.524;
2020-01-08;1700;2071.875;
2020-01-08;1800;2476.084;
2020-01-08;1900;3024.329;
2020-01-08;2000;1901.728;
2020-01-08;2100;1020.091;
2020-01-08;2200;441.133;
2020-01-08;2300;8.231;
2020-01-09;0000;-3.588;
2020-01-09;0100;-3.595;
2020-01-09;0200;-3.467;
2020-01-09;0300;null;
2020-01-09;0400;-3.6;
2020-01-09;0500;-3.6;
2020-01-09;0600;-3.548;
2020-01-09;0700;-3.492;
2020-01-09;0800;-3.539;
