Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;null;null;null;null;null;71.307692;60;10.1;null;
2020-01-02;null;null;null;null;null;null;71.923077;62;11.3;null;
2020-01-03;null;null;null;null;null;null;77.5;68;8.3;null;
2020-01-04;null;null;null;null;null;null;57.461538;40;8.3;null;
2020-01-05;null;null;null;33.5;null;22.1;67.647059;51;8.4;null;
2020-01-06;null;null;null;null;null;null;66.857143;53;11.5;null;
2020-01-07;null;null;null;32.3;null;25;69.933333;59;9.8;null;
2020-01-08;null;null;null;32.6;null;24.4;79.666667;68;9.2;null;
2020-01-09;null;null;null;null;null;null;null;60;5.9;null;
2020-01-10;null;null;null;null;null;null;67.307692;51;6.3;null;
2020-01-11;null;977.627778;22.966667;33;null;24.1;76.5;66;9.5;.822222;
2020-01-12;null;null;null;null;null;null;65.714286;51;6.1;null;
2020-01-13;null;null;null;36.4;null;25.7;70.125;50;17.1;null;
2020-01-14;null;null;null;null;null;null;57.714286;38;7.1;null;
2020-01-15;null;977.115789;21.821053;37.3;null;24;61.736842;37;6.8;1.010526;
2020-01-16;null;null;null;38.3;null;25.4;63;36;13;null;
2020-01-17;null;null;null;null;null;null;75.857143;62;6.5;null;
2020-01-18;null;null;null;34.9;null;24;65.5625;47;12.9;null;
2020-01-19;null;978.355556;21.516667;35.9;null;23.4;70.888889;46;10.4;1.166667;
2020-01-20;null;null;null;35.5;null;23.9;67.666667;51;8.3;null;
2020-01-21;null;null;null;null;null;25.1;76.461538;65;7.4;null;
2020-01-22;null;null;null;null;null;null;83.166667;73;9.9;null;
2020-01-23;null;null;null;null;null;null;80.416667;70;6.7;null;
2020-01-24;null;null;null;32.7;null;23.6;69.0625;52;9.8;null;
2020-01-25;1.6;975.926087;21.552174;34.5;27.878261;22;69.913043;47;10.6;1.447826;
2020-01-26;0;976.683333;21.9125;35.1;28.479167;24.3;69.208333;46;5.3;1.25;
2020-01-27;0;976.9125;22.129167;34.8;28.083333;23.5;70.958333;52;10.9;1.179167;
2020-01-28;0;977.0625;22.0375;34.4;27.591667;22.9;72.75;49;10.8;1.5875;
2020-01-29;1;979.275;22.120833;31.3;26.116667;24.1;78.875;66;9;1.391667;
2020-01-30;.4;980.495833;21.870833;34.6;26.2875;23;77.791667;51;11.4;1.6125;
2020-01-31;.2;980.791667;22.258333;34.9;26.666667;23.6;77.875;50;13.4;1.1375;
2020-02-01;.2;980.345833;22.1625;33.6;25.020833;23.3;84.416667;62;15.2;.933333;
2020-02-02;null;979.633333;23.07619;34.4;null;22.6;78.571429;57;3.3;.395238;
2020-02-03;4.4;978.745455;22.040909;36.2;27.663636;24.3;72.727273;45;11.2;1.213636;
2020-02-04;3.8;978.926087;22.408696;33.9;26.486957;23.5;78.913043;62;8.4;1.095652;
2020-02-05;null;978.304762;21.971429;33.2;null;23.7;75.761905;57;13.8;1.347619;
2020-02-06;3.4;978.983333;22.304167;31.4;25.729167;22.7;81.833333;68;13.4;1.304167;
2020-02-07;1.8;976.2125;22.758333;34.4;27.920833;23.5;74.791667;52;5.7;1.041667;
2020-02-08;.6;975.158333;21.625;31.4;26.095833;22.1;76.916667;59;10.6;1.704167;
2020-02-09;.8;977.35;22.268182;33.1;25.709091;23.2;81.727273;61;11;1.363636;
2020-02-10;null;null;null;30.8;null;23.2;82.117647;69;9.1;null;
2020-02-11;null;null;null;null;null;null;78.857143;63;12.4;null;
2020-02-12;null;null;null;30.4;null;23.2;80.866667;72;8;null;
2020-02-13;null;978.461111;22.377778;33.9;null;23;76.944444;55;9.4;1.05;
2020-02-14;null;null;null;33.6;null;23.9;77.235294;61;8.2;null;
2020-02-15;null;977.826316;23.105263;35.2;null;24.3;78.210526;54;15.3;1.084211;
2020-02-16;null;977.611111;23;34.7;null;22;72.166667;49;5.5;1.238889;
2020-02-17;1.6;977.3;22.391667;35.1;27.583333;23.2;74.125;53;8.9;.966667;
2020-02-18;1.8;978.266667;22.579167;35.3;26.25;23.1;80.875;57;14.2;1.2125;
2020-02-19;.2;977.133333;23.120833;33.6;26.704167;23.5;81.375;63;7.6;.8875;
2020-02-20;.4;976.3875;23.025;32.8;26.108333;23.1;83.583333;68;8.5;.770833;
2020-02-21;.4;977.470833;23.083333;32.6;26.5375;23.2;81.916667;65;7.2;1.070833;
2020-02-22;2.2;979.9375;22.175;27.6;24.370833;22.8;87.708333;76;9.3;.925;
2020-02-23;null;979.777778;22.927778;31;null;23.2;82.611111;72;9.7;1.211111;
2020-02-24;null;978.863158;22.784211;30.3;null;22.5;84.578947;75;10.2;1.284211;
2020-02-25;null;978.344444;23.238889;33.2;null;23.1;78.722222;65;10.1;1.144444;
2020-02-26;3;978.433333;22.704167;32.4;26.766667;23.9;79.083333;60;11.4;1.1;
2020-02-27;2.8;977.954167;22.320833;30.7;25.708333;22.8;81.875;64;7.9;.8125;
2020-02-28;2.4;979.068182;22.831818;33.2;26.240909;23.7;81.818182;67;10.8;.709091;
2020-02-29;null;980.05;23.094444;29.8;null;23.3;85.111111;76;7.1;1.027778;
2020-03-01;null;null;null;null;null;null;69.857143;51;6.8;null;
2020-03-02;null;978.304167;18.525;33.3;25.445833;18.6;66.958333;46;5.9;.6375;
2020-03-03;null;977.870833;18.333333;34.3;26.208333;19.3;64.208333;35;5.8;.729167;
2020-03-04;null;978.5875;18.1625;35;26.35;19.5;63.208333;36;5.4;.6625;
