Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.062;
2020-01-01;0100;null;
2020-01-01;0200;null;
2020-01-01;0300;null;
2020-01-01;0400;null;
2020-01-01;0500;null;
2020-01-01;0600;null;
2020-01-01;0700;null;
2020-01-01;0800;null;
2020-01-01;0900;null;
2020-01-01;1000;null;
2020-01-01;1100;null;
2020-01-01;1200;2096.199;
2020-01-01;1300;2343.653;
2020-01-01;1400;2447.349;
2020-01-01;1500;3309.301;
2020-01-01;1600;3536.494;
2020-01-01;1700;3682.293;
2020-01-01;1800;669.327;
2020-01-01;1900;948.191;
2020-01-01;2000;1248.516;
2020-01-01;2100;1261.139;
2020-01-01;2200;371.457;
2020-01-01;2300;1.346;
2020-01-02;0000;-3.54;
2020-01-02;0100;null;
2020-01-02;0200;null;
2020-01-02;0300;null;
2020-01-02;0400;null;
2020-01-02;0500;null;
2020-01-02;0600;null;
2020-01-02;0700;null;
2020-01-02;0800;null;
2020-01-02;0900;null;
2020-01-02;1000;null;
2020-01-02;1100;null;
2020-01-02;1200;1463.834;
2020-01-02;1300;2170.489;
2020-01-02;1400;2602.576;
2020-01-02;1500;3215.856;
2020-01-02;1600;1828.674;
2020-01-02;1700;1440.76;
2020-01-02;1800;1979.779;
2020-01-02;1900;1750.65;
2020-01-02;2000;718.161;
2020-01-02;2100;436.673;
2020-01-02;2200;122.644;
2020-01-02;2300;-.733;
2020-01-03;0000;-3.539;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.54;
2020-01-03;0300;null;
2020-01-03;0400;null;
2020-01-03;0500;null;
2020-01-03;0600;null;
2020-01-03;0700;null;
2020-01-03;0800;null;
2020-01-03;0900;null;
2020-01-03;1000;null;
2020-01-03;1100;null;
2020-01-03;1200;null;
2020-01-03;1300;3211.336;
2020-01-03;1400;3172.543;
2020-01-03;1500;2084.83;
2020-01-03;1600;1445.251;
2020-01-03;1700;596.472;
2020-01-03;1800;596.262;
2020-01-03;1900;2307.764;
2020-01-03;2000;1172.45;
2020-01-03;2100;1049.359;
2020-01-03;2200;489.462;
2020-01-03;2300;9.417;
2020-01-04;0000;-3.523;
2020-01-04;0100;null;
2020-01-04;0200;null;
2020-01-04;0300;null;
2020-01-04;0400;null;
2020-01-04;0500;null;
2020-01-04;0600;null;
2020-01-04;0700;null;
2020-01-04;0800;null;
2020-01-04;0900;null;
2020-01-04;1000;null;
2020-01-04;1100;null;
2020-01-04;1200;1947.699;
2020-01-04;1300;2391.11;
2020-01-04;1400;2978.671;
2020-01-04;1500;3132.02;
2020-01-04;1600;2432.825;
2020-01-04;1700;2786.382;
2020-01-04;1800;2635.76;
2020-01-04;1900;2046.967;
2020-01-04;2000;1997.628;
2020-01-04;2100;1285.641;
2020-01-04;2200;414.832;
2020-01-04;2300;4.831;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.54;
2020-01-05;0500;null;
2020-01-05;0600;null;
2020-01-05;0700;null;
2020-01-05;0800;null;
2020-01-05;0900;null;
2020-01-05;1000;null;
2020-01-05;1100;null;
2020-01-05;1200;2051.444;
2020-01-05;1300;2350.878;
2020-01-05;1400;2848.4;
2020-01-05;1500;2593.905;
2020-01-05;1600;3055.692;
2020-01-05;1700;775.736;
2020-01-05;1800;1369.06;
2020-01-05;1900;2702.911;
2020-01-05;2000;1221.693;
2020-01-05;2100;501.477;
2020-01-05;2200;355.114;
2020-01-05;2300;5.606;
2020-01-06;0000;-3.395;
2020-01-06;0100;-3.333;
2020-01-06;0200;null;
2020-01-06;0300;null;
2020-01-06;0400;null;
2020-01-06;0500;null;
2020-01-06;0600;null;
2020-01-06;0700;null;
2020-01-06;0800;null;
2020-01-06;0900;null;
2020-01-06;1000;null;
2020-01-06;1100;null;
2020-01-06;1200;1208.516;
2020-01-06;1300;987.072;
2020-01-06;1400;1010.5;
2020-01-06;1500;2522.064;
2020-01-06;1600;2594.687;
2020-01-06;1700;1204.055;
2020-01-06;1800;2333.247;
2020-01-06;1900;2279.123;
2020-01-06;2000;2097.468;
2020-01-06;2100;1037.611;
2020-01-06;2200;245.292;
2020-01-06;2300;.943;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.54;
2020-01-07;0200;-3.392;
2020-01-07;0300;null;
2020-01-07;0400;null;
2020-01-07;0500;null;
2020-01-07;0600;null;
2020-01-07;0700;null;
2020-01-07;0800;null;
2020-01-07;0900;null;
2020-01-07;1000;null;
2020-01-07;1100;null;
2020-01-07;1200;914.852;
2020-01-07;1300;1452.96;
2020-01-07;1400;1736.303;
2020-01-07;1500;2633.661;
2020-01-07;1600;3169.632;
2020-01-07;1700;2875.517;
2020-01-07;1800;3040.862;
2020-01-07;1900;983.77;
2020-01-07;2000;1272.298;
2020-01-07;2100;941.556;
2020-01-07;2200;425.777;
2020-01-07;2300;3.707;
2020-01-08;0000;-3.54;
2020-01-08;0100;-3.535;
2020-01-08;0200;-3.537;
2020-01-08;0300;-3.54;
2020-01-08;0400;-3.509;
2020-01-08;0500;null;
2020-01-08;0600;null;
2020-01-08;0700;null;
2020-01-08;0800;null;
2020-01-08;0900;null;
2020-01-08;1000;null;
2020-01-08;1100;null;
2020-01-08;1200;null;
2020-01-08;1300;1577.336;
2020-01-08;1400;1977.256;
2020-01-08;1500;1977.137;
2020-01-08;1600;2913.436;
2020-01-08;1700;2612.299;
2020-01-08;1800;1568.434;
2020-01-08;1900;216.149;
2020-01-08;2000;608.845;
2020-01-08;2100;165.865;
2020-01-08;2200;53.372;
2020-01-08;2300;.941;
2020-01-09;0000;null;
2020-01-09;0100;null;
2020-01-09;0200;null;
2020-01-09;0300;null;
2020-01-09;0400;null;
2020-01-09;0500;null;
2020-01-09;0600;null;
2020-01-09;0700;null;
2020-01-09;0800;null;
2020-01-09;0900;null;
2020-01-09;1000;null;
2020-01-09;1100;null;
2020-01-09;1200;null;
2020-01-09;1300;null;
2020-01-09;1400;1652.968;
2020-01-09;1500;2221.4;
2020-01-09;1600;3265.191;
2020-01-09;1700;2997.733;
2020-01-09;1800;2381.649;
2020-01-09;1900;1566.796;
2020-01-09;2000;957.711;
