Nome: AGUA BOA
Codigo Estacao: A908
Latitude: -14.01638888
Longitude: -52.21166666
Altitude: 440
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;959.447368;21.5;30.5;null;20.8;75.842105;59;8.2;2.663158;
2020-01-02;null;960.3;21.655;29.4;null;21.3;82.8;69;12.6;3.025;
2020-01-03;null;null;null;28.8;null;22.9;84;70;8.6;null;
2020-01-04;null;null;null;24.4;null;22.1;91.428571;84;13.4;null;
2020-01-05;null;null;null;null;null;null;89.214286;81;11;null;
2020-01-06;null;960.691304;21.486957;29.6;23.886957;21;87;67;11;3.343478;
2020-01-07;null;962.1625;21.4375;25.3;22.808333;20.8;92.125;89;10.4;2.841667;
2020-01-08;null;null;null;null;null;null;77.428571;55;10.5;null;
2020-01-09;null;962.854167;22.25;28.7;24.470833;22;87.75;75;6.7;1.620833;
2020-01-10;null;961.316667;22.016667;32.9;26.170833;21.1;79.541667;51;7.7;1.229167;
2020-01-11;null;960.466667;22.225;32.7;25.3;22.7;83.666667;54;10.6;1.475;
2020-01-12;null;961.713636;21.795455;32.3;26.272727;21.1;78.136364;52;6.4;.231818;
2020-01-13;null;962.430435;21.686957;29.2;24.43913;22.5;85;68;15;1.882609;
2020-01-14;null;961.668421;21.815789;32.9;null;20.7;73.578947;45;4.3;1.305263;
2020-01-15;null;960.277273;22.131818;34.5;28.077273;21.7;72;45;4.7;.172727;
2020-01-16;null;null;null;34.4;null;23.4;66.705882;44;14.2;null;
2020-01-17;null;null;null;32.2;null;23.4;68.125;52;7.9;null;
2020-01-18;null;962.57;22.005;33.2;null;21.7;72.7;51;6;.335;
2020-01-19;null;960.938889;21.666667;34.9;null;23;65.777778;43;14;.683333;
2020-01-20;null;null;null;33.2;null;22.3;77.1875;55;13.7;null;
2020-01-21;null;null;null;31;null;23.4;83.071429;65;10.7;null;
2020-01-22;null;null;null;null;null;null;85.142857;71;11.2;null;
2020-01-23;null;null;null;27.4;null;22.1;85.823529;75;12.2;null;
2020-01-24;null;958.221053;21.984211;28.1;null;22.8;85.473684;71;12.6;4.652632;
2020-01-25;null;959.908333;22.083333;29.2;24.65;22.7;86.083333;65;13.6;3.908333;
2020-01-26;null;960.854167;21.4125;30.9;24.6;21.1;83.458333;61;8.8;1.470833;
2020-01-27;null;960.908333;22.120833;28.3;23.9875;22.6;89.333333;80;8.4;1.4125;
2020-01-28;null;962.026316;21.857895;28;null;21.8;88.210526;77;12.4;2.805263;
2020-01-29;null;963.295833;21.420833;31;24.004167;21.2;86.208333;59;13.3;1.395833;
2020-01-30;null;963.775;21.741667;31.8;24.420833;21.3;85.666667;58;13.9;.158333;
2020-01-31;null;962.942857;21.914286;33.8;null;20.9;74.142857;46;4.9;.238095;
2020-02-01;null;962.825;22.029167;32.8;25.554167;23.4;81.541667;53;18.1;.7125;
2020-02-02;null;962.210526;21.605263;33.7;null;20.4;69.894737;46;5.7;0;
2020-02-03;null;961.918182;21.927273;30.9;25.827273;22.3;79.818182;60;12.4;1.090909;
2020-02-04;null;null;null;31.5;null;21.6;80.125;57;8.6;null;
2020-02-05;null;962.311111;21.888889;29.4;null;22.7;86.888889;69;11.9;2.083333;
2020-02-06;null;null;null;31.1;null;21.9;79.133333;61;7.7;null;
2020-02-07;null;959.980952;21.690476;28.6;null;21.7;90.666667;79;11;2.533333;
2020-02-08;null;null;null;28.8;null;22;89.411765;78;11;null;
2020-02-09;null;962.978947;20.957895;26.6;null;21.1;89.052632;77;13.1;5.189474;
2020-02-10;null;964.329167;20.683333;29.3;23.504167;20.7;84.75;64;10.1;2.020833;
2020-02-11;null;962.504167;21.4875;33.8;26.025;21.4;77.791667;47;7.4;.445833;
2020-02-12;null;961.745833;21.020833;31.8;23.508333;21.8;86.458333;62;13.8;1.670833;
2020-02-13;null;null;null;31.9;null;20.3;78.588235;53;8.1;null;
2020-02-14;null;961.165;22.505;33.4;null;21.8;75.05;51;16.4;.22;
2020-02-15;null;961.105556;22.177778;31.9;null;22.7;78.166667;60;11.2;1.6;
2020-02-16;null;null;null;null;null;null;75.214286;55;9.3;null;
2020-02-17;null;null;null;33.1;null;22.7;77.9375;50;14.1;null;
2020-02-18;null;null;null;null;null;null;80.571429;58;7.5;null;
2020-02-19;null;null;null;31.6;null;22.6;74;56;11;null;
2020-02-20;null;960.194444;21.688889;29.3;null;23;81.222222;64;8.6;1.811111;
