Nome: ALTO ARAGUAIA
Codigo Estacao: A909
Latitude: -17.33944444
Longitude: -53.22444443
Altitude: 753.28
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;925.679167;19.483333;31.8;24.441667;19.9;75.916667;43;13.1;1.808333;
2020-01-02;11.6;926.179167;20.754167;28.3;23.258333;22;85.916667;68;8.8;2.2875;
2020-01-03;5.6;926.191667;20.020833;31.4;23.295833;19.2;83.25;46;9.1;1.754167;
2020-01-04;2.2;924.875;19.004167;30.3;24.704167;20.9;73.625;43;10.7;2.233333;
2020-01-05;0;924.2875;17.683333;31.1;24.845833;19.6;66.458333;33;7.9;2.479167;
2020-01-06;0;925.316667;19.929167;30.1;24.625;21.9;76.166667;51;11.7;3.1125;
2020-01-07;2.6;927.341667;20.65;29.5;23.075;21.8;86.833333;59;15;2.475;
2020-01-08;10.2;928.104167;20.208333;27.2;23.25;20.5;83.875;65;10;2.641667;
2020-01-09;1;929.175;20.775;26;22.483333;21.3;90.375;74;7.5;1.5125;
2020-01-10;19.6;928.3;19.991667;31.1;24.083333;20.5;79.666667;46;8.3;1.7625;
2020-01-11;0;927.4125;20.516667;29.7;24.7875;20.4;78.416667;56;9.6;1.558333;
2020-01-12;.2;928.1125;20.595833;32;26.154167;20.8;73.916667;44;9.4;2.145833;
2020-01-13;0;928.920833;19.95;32.5;25.708333;20.8;72.958333;40;13.9;2.366667;
2020-01-14;11;928.4875;19.145833;32.1;25.454167;19.7;71.25;38;6.6;1.795833;
2020-01-15;0;927.558333;19.8125;33.4;26.758333;20.8;68.166667;35;7.8;1.841667;
2020-01-16;0;928.9;19.3375;34.6;26.520833;20.8;67.708333;33;6.4;1.808333;
2020-01-17;3.8;930.620833;20.25;28.9;23.766667;20.8;81.375;60;9;2.483333;
2020-01-18;0;929.954167;20.233333;31.4;25.629167;21.4;74.208333;44;5.2;1.5375;
2020-01-19;0;928.5875;20.479167;32.8;25.004167;22.4;77.416667;43;9.1;1.808333;
2020-01-20;3;926.791667;20.520833;32.2;24.291667;20.7;81.208333;47;8.5;1.779167;
2020-01-21;1.4;924.770833;21.0125;30.1;24.545833;21.5;82.083333;54;8.5;2.475;
2020-01-22;14.4;923.9625;20.291667;24.6;21.7875;19.9;91.25;82;10.2;2.154167;
2020-01-23;40;922.4625;20.420833;28.5;23.495833;20.6;83.875;57;9;2.808333;
2020-01-24;.2;922.7375;20.604167;29.4;24.366667;21.5;81;56;11.1;3.3375;
2020-01-25;31.4;925.6875;20.175;30.4;23.35;20.1;83.666667;52;8.5;1.9625;
2020-01-26;28.6;926.791667;19.125;31.9;24.595833;19.5;74.5;40;7.6;2.333333;
2020-01-27;0;926.8875;19.270833;33.3;25.7125;20.9;71;32;5.7;1.895833;
2020-01-28;0;927.291667;19.545833;30.9;25.654167;22.1;71.541667;38;8.7;3.0875;
2020-01-29;6.2;929.029167;19.970833;29.1;23.8875;21.4;80.166667;51;11;3.141667;
2020-01-30;0;930.375;20.3125;29.2;22.6125;20.8;87.291667;63;12.5;2.4;
2020-01-31;30.8;930.4125;20.2625;31.5;24.008333;20.8;81.833333;48;12.7;2.058333;
2020-02-01;19;930.120833;19.779167;31;23.770833;20.5;79.958333;44;13.1;2.120833;
2020-02-02;.8;929.673913;19.630435;30.3;24.769565;21;75.130435;47;5.9;1.834783;
2020-02-03;0;928.729167;19.725;32.6;24.833333;21.8;74.583333;42;8.5;2.145833;
2020-02-04;6.4;928.620833;20.291667;30;23.391667;20.2;83.541667;57;7.3;2.166667;
2020-02-05;4.4;928.4125;20.3625;24.8;22.308333;21;88.875;76;8.8;2.079167;
2020-02-06;6.2;928.352174;20.486957;28.2;23.008696;20.5;86.304348;63;9.7;1.973913;
2020-02-07;17;925.670833;19.408333;30.1;23.554167;19.1;78.791667;54;13.2;2.295833;
2020-02-08;1.4;924.6375;20.154167;28.3;22.620833;20.2;86.75;61;9.4;1.983333;
2020-02-09;5.8;927.1;20.470833;29;22.441667;20.7;89.083333;61;13.8;3.25;
2020-02-10;4.4;929.254167;20.425;28;22.808333;20.8;87.166667;62;10.9;3.216667;
2020-02-11;6.8;929.391667;20.275;30;23.854167;20.9;81.875;53;9.9;2.545833;
