Nome: APIACAS
Codigo Estacao: A910
Latitude: -9.56333333
Longitude: -57.3936111
Altitude: 217.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.352;
2020-01-01;0200;-3.47;
2020-01-01;0300;-3.456;
2020-01-01;0400;null;
2020-01-01;0500;null;
2020-01-01;0600;null;
2020-01-01;0700;null;
2020-01-01;0800;null;
2020-01-01;0900;null;
2020-01-01;1000;null;
2020-01-01;1100;237.59;
2020-01-01;1200;639.066;
2020-01-01;1300;1667.832;
2020-01-01;1400;1859.248;
2020-01-01;1500;1717.947;
2020-01-01;1600;1940.493;
2020-01-01;1700;1119.535;
2020-01-01;1800;1671.953;
2020-01-01;1900;514.412;
2020-01-01;2000;396.74;
2020-01-01;2100;295.183;
2020-01-01;2200;71.794;
2020-01-01;2300;-.78;
2020-01-02;0000;-.969;
2020-01-02;0100;-1.436;
2020-01-02;0200;-1.383;
2020-01-02;0300;null;
2020-01-02;0400;null;
2020-01-02;0500;null;
2020-01-02;0600;null;
2020-01-02;0700;null;
2020-01-02;0800;null;
2020-01-02;0900;null;
2020-01-02;1000;null;
2020-01-02;1100;237.291;
2020-01-02;1200;830.969;
2020-01-02;1300;1285.313;
2020-01-02;1400;1330.445;
2020-01-02;1500;1076.957;
2020-01-02;1600;1349.588;
2020-01-02;1700;1383.719;
2020-01-02;1800;1401.599;
2020-01-02;1900;1149.14;
2020-01-02;2000;775.713;
2020-01-02;2100;417.542;
2020-01-02;2200;129.488;
2020-01-02;2300;-2.642;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.526;
2020-01-03;0300;-3.522;
2020-01-03;0400;-2.9;
2020-01-03;0500;-2.958;
2020-01-03;0600;-2.768;
2020-01-03;0700;-3.061;
2020-01-03;0800;null;
2020-01-03;0900;null;
2020-01-03;1000;null;
2020-01-03;1100;222.324;
2020-01-03;1200;627.743;
2020-01-03;1300;997.079;
2020-01-03;1400;1411.708;
2020-01-03;1500;815.272;
2020-01-03;1600;603.912;
2020-01-03;1700;683.939;
2020-01-03;1800;1456.14;
2020-01-03;1900;1130.706;
2020-01-03;2000;490.864;
2020-01-03;2100;469.109;
2020-01-03;2200;55.243;
2020-01-03;2300;-3.367;
2020-01-04;0000;-3.376;
2020-01-04;0100;-3.45;
2020-01-04;0200;-3.497;
2020-01-04;0300;-3.366;
2020-01-04;0400;-3.513;
2020-01-04;0500;null;
2020-01-04;0600;null;
2020-01-04;0700;null;
2020-01-04;0800;null;
2020-01-04;0900;null;
2020-01-04;1000;null;
2020-01-04;1100;248.721;
2020-01-04;1200;797.419;
2020-01-04;1300;1194.498;
2020-01-04;1400;2223.008;
2020-01-04;1500;2342.308;
2020-01-04;1600;2878.255;
2020-01-04;1700;2269.795;
2020-01-04;1800;2395.612;
2020-01-04;1900;1208.536;
2020-01-04;2000;932.377;
2020-01-04;2100;573.896;
2020-01-04;2200;164.59;
2020-01-04;2300;-1.059;
2020-01-05;0000;-3.092;
2020-01-05;0100;-3.265;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.526;
2020-01-05;0400;-3.35;
2020-01-05;0500;-3.329;
2020-01-05;0600;-3.316;
2020-01-05;0700;-2.88;
2020-01-05;0800;-3.491;
2020-01-05;0900;-3.135;
2020-01-05;1000;15.599;
2020-01-05;1100;465.085;
2020-01-05;1200;326.883;
2020-01-05;1300;465.992;
2020-01-05;1400;468.059;
2020-01-05;1500;424.811;
2020-01-05;1600;614.459;
2020-01-05;1700;753.955;
2020-01-05;1800;853.476;
2020-01-05;1900;1376.374;
2020-01-05;2000;874.744;
2020-01-05;2100;407.007;
2020-01-05;2200;118.597;
2020-01-05;2300;-2.274;
2020-01-06;0000;-3.538;
2020-01-06;0100;-3.538;
2020-01-06;0200;-3.473;
2020-01-06;0300;-3.52;
2020-01-06;0400;-3.54;
2020-01-06;0500;null;
2020-01-06;0600;null;
2020-01-06;0700;null;
2020-01-06;0800;null;
2020-01-06;0900;null;
2020-01-06;1000;null;
2020-01-06;1100;169.685;
2020-01-06;1200;333.573;
2020-01-06;1300;286.898;
2020-01-06;1400;365.781;
2020-01-06;1500;665.451;
2020-01-06;1600;937.104;
2020-01-06;1700;1318.421;
2020-01-06;1800;1221.013;
2020-01-06;1900;1686.226;
2020-01-06;2000;1706.748;
2020-01-06;2100;814.754;
2020-01-06;2200;282.286;
2020-01-06;2300;2.788;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.54;
2020-01-07;0200;-3.499;
2020-01-07;0300;-3.468;
