Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.527;
2020-01-01;0200;-3.338;
2020-01-01;0300;-2.571;
2020-01-01;0400;-2.904;
2020-01-01;0500;-2.771;
2020-01-01;0600;-2.838;
2020-01-01;0700;-2.157;
2020-01-01;0800;-1.926;
2020-01-01;0900;-2.44;
2020-01-01;1000;43.563;
2020-01-01;1100;393.199;
2020-01-01;1200;931.653;
2020-01-01;1300;1845.779;
2020-01-01;1400;1243.497;
2020-01-01;1500;2179.434;
2020-01-01;1600;2244.944;
2020-01-01;1700;1375.14;
2020-01-01;1800;3460.642;
2020-01-01;1900;3060.456;
2020-01-01;2000;1241.226;
2020-01-01;2100;1107.592;
2020-01-01;2200;285.783;
2020-01-01;2300;6.329;
2020-01-02;0000;-3.533;
2020-01-02;0100;-3.593;
2020-01-02;0200;-3.184;
2020-01-02;0300;-3.396;
2020-01-02;0400;-2.508;
2020-01-02;0500;-2.474;
2020-01-02;0600;-1.262;
2020-01-02;0700;-1.327;
2020-01-02;0800;-1.379;
2020-01-02;0900;-2.157;
2020-01-02;1000;13.851;
2020-01-02;1100;133.151;
2020-01-02;1200;162.024;
2020-01-02;1300;360.808;
2020-01-02;1400;800.973;
2020-01-02;1500;888.25;
2020-01-02;1600;1148.127;
2020-01-02;1700;1940.53;
2020-01-02;1800;1267.805;
2020-01-02;1900;984.502;
2020-01-02;2000;688.709;
2020-01-02;2100;354.482;
2020-01-02;2200;185.774;
2020-01-02;2300;17.19;
2020-01-03;0000;-1.584;
2020-01-03;0100;-1.133;
2020-01-03;0200;-1.613;
2020-01-03;0300;-2.072;
2020-01-03;0400;-2.048;
2020-01-03;0500;-1.199;
2020-01-03;0600;-.89;
2020-01-03;0700;-.673;
2020-01-03;0800;-1.1;
2020-01-03;0900;-1.012;
2020-01-03;1000;11.338;
2020-01-03;1100;194.135;
2020-01-03;1200;713.234;
2020-01-03;1300;1514.356;
2020-01-03;1400;1838.136;
2020-01-03;1500;2696.091;
2020-01-03;1600;2345.853;
2020-01-03;1700;2832.946;
2020-01-03;1800;1088.815;
2020-01-03;1900;422.983;
2020-01-03;2000;95.093;
2020-01-03;2100;65.951;
2020-01-03;2200;80.138;
2020-01-03;2300;7.774;
2020-01-04;0000;-2.834;
2020-01-04;0100;-2.664;
2020-01-04;0200;-2.15;
2020-01-04;0300;-1.364;
2020-01-04;0400;-1.312;
2020-01-04;0500;-1.154;
2020-01-04;0600;-1.33;
2020-01-04;0700;-1.399;
2020-01-04;0800;-1.621;
2020-01-04;0900;-1.315;
2020-01-04;1000;12.647;
2020-01-04;1100;159.933;
2020-01-04;1200;458.734;
2020-01-04;1300;946.556;
2020-01-04;1400;870.612;
2020-01-04;1500;1768.624;
2020-01-04;1600;2420.782;
2020-01-04;1700;2535.178;
2020-01-04;1800;957.941;
2020-01-04;1900;508.401;
2020-01-04;2000;1084.416;
2020-01-04;2100;1388.403;
2020-01-04;2200;458.165;
2020-01-04;2300;27.019;
2020-01-05;0000;-3.181;
2020-01-05;0100;-1.935;
2020-01-05;0200;-1.532;
2020-01-05;0300;-1.854;
2020-01-05;0400;-1.212;
2020-01-05;0500;-1.416;
2020-01-05;0600;-.794;
2020-01-05;0700;-.847;
2020-01-05;0800;-.709;
2020-01-05;0900;-.538;
2020-01-05;1000;16.351;
2020-01-05;1100;289.507;
2020-01-05;1200;429.287;
2020-01-05;1300;902.498;
2020-01-05;1400;1565.04;
2020-01-05;1500;1708.145;
2020-01-05;1600;1745.405;
2020-01-05;1700;1704.896;
2020-01-05;1800;2246.181;
2020-01-05;1900;2016.517;
2020-01-05;2000;1644.924;
2020-01-05;2100;1230.398;
2020-01-05;2200;483.127;
2020-01-05;2300;29.52;
2020-01-06;0000;-3.6;
2020-01-06;0100;-3.456;
2020-01-06;0200;-3.598;
2020-01-06;0300;-2.005;
2020-01-06;0400;-2.126;
2020-01-06;0500;-1.326;
2020-01-06;0600;-1.441;
2020-01-06;0700;-.997;
2020-01-06;0800;-.552;
2020-01-06;0900;-.512;
2020-01-06;1000;14.878;
2020-01-06;1100;222.722;
2020-01-06;1200;519.773;
2020-01-06;1300;845.023;
2020-01-06;1400;1557.826;
2020-01-06;1500;1633.216;
2020-01-06;1600;2740.659;
2020-01-06;1700;3251.447;
2020-01-06;1800;2610.815;
2020-01-06;1900;2453.304;
2020-01-06;2000;2157.322;
2020-01-06;2100;1046.711;
2020-01-06;2200;176.591;
2020-01-06;2300;32.272;
2020-01-07;0000;-3.582;
2020-01-07;0100;-3.596;
2020-01-07;0200;-3.544;
2020-01-07;0300;-2.782;
2020-01-07;0400;-3.216;
2020-01-07;0500;-2.332;
2020-01-07;0600;-1.77;
2020-01-07;0700;-1.619;
2020-01-07;0800;-1.531;
2020-01-07;0900;-1.077;
2020-01-07;1000;16.663;
2020-01-07;1100;324.323;
2020-01-07;1200;1305.514;
2020-01-07;1300;2002.98;
2020-01-07;1400;2596.372;
2020-01-07;1500;3346.615;
2020-01-07;1600;3539.23;
2020-01-07;1700;3886.981;
2020-01-07;1800;1854.654;
2020-01-07;1900;2795.44;
2020-01-07;2000;2015.401;
2020-01-07;2100;1679.969;
2020-01-07;2200;499.632;
2020-01-07;2300;14.382;
2020-01-08;0000;-3.574;
2020-01-08;0100;-3.6;
2020-01-08;0200;-3.183;
2020-01-08;0300;-2.439;
2020-01-08;0400;-3.543;
2020-01-08;0500;-2.962;
2020-01-08;0600;-2.37;
2020-01-08;0700;-1.757;
2020-01-08;0800;-.246;
2020-01-08;0900;-1.125;
2020-01-08;1000;4.22;
2020-01-08;1100;115.812;
2020-01-08;1200;576.007;
2020-01-08;1300;968.006;
2020-01-08;1400;691.359;
2020-01-08;1500;665.87;
2020-01-08;1600;784.54;
2020-01-08;1700;1203.359;
2020-01-08;1800;1118.679;
2020-01-08;1900;768.073;
2020-01-08;2000;625.138;
2020-01-08;2100;636.443;
2020-01-08;2200;219.195;
2020-01-08;2300;26.276;
2020-01-09;0000;-2.797;
2020-01-09;0100;-2.01;
2020-01-09;0200;-2.106;
2020-01-09;0300;-1.145;
2020-01-09;0400;-1.065;
2020-01-09;0500;-1.547;
2020-01-09;0600;-.522;
2020-01-09;0700;-.356;
2020-01-09;0800;-.121;
2020-01-09;0900;-.894;
2020-01-09;1000;11.885;
2020-01-09;1100;289.572;
2020-01-09;1200;480.74;
2020-01-09;1300;527.258;
2020-01-09;1400;1977.677;
2020-01-09;1500;2066.159;
2020-01-09;1600;2133.731;
2020-01-09;1700;3469.297;
2020-01-09;1800;2818.34;
2020-01-09;1900;2533.288;
2020-01-09;2000;1597.179;
2020-01-09;2100;1577.108;
2020-01-09;2200;615.058;
2020-01-09;2300;48.695;
2020-01-10;0000;-3.6;
2020-01-10;0100;-3.6;
2020-01-10;0200;-3.6;
2020-01-10;0300;-3.38;
2020-01-10;0400;-2.854;
2020-01-10;0500;-2.625;
2020-01-10;0600;-3.177;
2020-01-10;0700;-3.156;
2020-01-10;0800;-2.702;
2020-01-10;0900;-2.249;
2020-01-10;1000;19.531;
2020-01-10;1100;390.067;
2020-01-10;1200;908.49;
2020-01-10;1300;1839.593;
2020-01-10;1400;2976.558;
2020-01-10;1500;3361.84;
2020-01-10;1600;3867.757;
2020-01-10;1700;3987.615;
2020-01-10;1800;3702.723;
2020-01-10;1900;2381.347;
2020-01-10;2000;720.363;
2020-01-10;2100;519.068;
2020-01-10;2200;187.463;
2020-01-10;2300;23.083;
2020-01-11;0000;-3.6;
2020-01-11;0100;-2.94;
2020-01-11;0200;-3.217;
2020-01-11;0300;-2.184;
2020-01-11;0400;-1.766;
2020-01-11;0500;-1.851;
2020-01-11;0600;-1.435;
2020-01-11;0700;-2.184;
2020-01-11;0800;-3.258;
2020-01-11;0900;-2.519;
2020-01-11;1000;25.993;
2020-01-11;1100;494.625;
2020-01-11;1200;755.22;
2020-01-11;1300;1630.381;
2020-01-11;1400;2942.46;
2020-01-11;1500;1975.521;
2020-01-11;1600;976.506;
2020-01-11;1700;1430.902;
2020-01-11;1800;1785.098;
2020-01-11;1900;2843.95;
2020-01-11;2000;2502.411;
2020-01-11;2100;1265.406;
2020-01-11;2200;196.059;
2020-01-11;2300;5.355;
2020-01-12;0000;-1.339;
2020-01-12;0100;-1.743;
2020-01-12;0200;-1.549;
2020-01-12;0300;-1.688;
2020-01-12;0400;-1.317;
2020-01-12;0500;-1.538;
2020-01-12;0600;-1.662;
2020-01-12;0700;-1.866;
2020-01-12;0800;-2.4;
2020-01-12;0900;-2.464;
2020-01-12;1000;14.179;
2020-01-12;1100;186.634;
2020-01-12;1200;301.168;
2020-01-12;1300;429.091;
2020-01-12;1400;2215.416;
2020-01-12;1500;3237.946;
2020-01-12;1600;1084.067;
2020-01-12;1700;2195.545;
2020-01-12;1800;2776.255;
2020-01-12;1900;2498.287;
2020-01-12;2000;2186.677;
2020-01-12;2100;441.486;
2020-01-12;2200;91.685;
2020-01-12;2300;15.42;
2020-01-13;0000;-2.614;
2020-01-13;0100;-2.373;
2020-01-13;0200;-2.706;
2020-01-13;0300;-2.847;
2020-01-13;0400;-1.013;
2020-01-13;0500;-1.957;
2020-01-13;0600;-3.44;
2020-01-13;0700;-3.052;
2020-01-13;0800;-2.333;
2020-01-13;0900;-2.122;
2020-01-13;1000;15.38;
2020-01-13;1100;264.714;
2020-01-13;1200;636.192;
2020-01-13;1300;1476.765;
2020-01-13;1400;2327.319;
2020-01-13;1500;2717.599;
2020-01-13;1600;3108.356;
2020-01-13;1700;2805.948;
2020-01-13;1800;2646.032;
2020-01-13;1900;1984.642;
2020-01-13;2000;1629.609;
2020-01-13;2100;808.363;
2020-01-13;2200;430.458;
2020-01-13;2300;34.393;
2020-01-14;0000;-3.6;
2020-01-14;0100;-3.6;
2020-01-14;0200;-3.6;
2020-01-14;0300;-3.6;
2020-01-14;0400;-3.6;
2020-01-14;0500;-3.6;
2020-01-14;0600;-3.598;
2020-01-14;0700;-3.6;
2020-01-14;0800;-3.283;
2020-01-14;0900;-3.597;
2020-01-14;1000;12.721;
2020-01-14;1100;419.684;
2020-01-14;1200;1110.756;
2020-01-14;1300;2280.065;
2020-01-14;1400;2911.601;
2020-01-14;1500;3373.306;
2020-01-14;1600;3957.871;
2020-01-14;1700;3139.032;
2020-01-14;1800;3259.453;
2020-01-14;1900;3205.223;
2020-01-14;2000;2208.838;
2020-01-14;2100;1112.618;
2020-01-14;2200;404.572;
2020-01-14;2300;15.937;
2020-01-15;0000;-2.446;
2020-01-15;0100;-3.499;
2020-01-15;0200;-3.6;
2020-01-15;0300;-3.597;
2020-01-15;0400;-3.524;
2020-01-15;0500;-3.574;
2020-01-15;0600;-2.989;
2020-01-15;0700;-2.866;
2020-01-15;0800;-2.639;
2020-01-15;0900;-3.26;
2020-01-15;1000;17.047;
2020-01-15;1100;497.972;
2020-01-15;1200;1346.432;
2020-01-15;1300;2196.977;
2020-01-15;1400;2678.248;
2020-01-15;1500;3693.399;
2020-01-15;1600;3515.345;
2020-01-15;1700;3415.486;
2020-01-15;1800;2701.199;
2020-01-15;1900;3066.972;
2020-01-15;2000;2126.584;
2020-01-15;2100;1565.001;
2020-01-15;2200;769.804;
2020-01-15;2300;38.683;
2020-01-16;0000;-3.6;
2020-01-16;0100;-3.6;
2020-01-16;0200;-3.6;
2020-01-16;0300;-3.6;
2020-01-16;0400;-3.595;
2020-01-16;0500;-3.6;
2020-01-16;0600;-3.6;
2020-01-16;0700;-3.599;
2020-01-16;0800;-3.593;
2020-01-16;0900;-3.599;
2020-01-16;1000;13.525;
2020-01-16;1100;493.013;
2020-01-16;1200;1387.843;
2020-01-16;1300;2027.576;
2020-01-16;1400;2986.53;
2020-01-16;1500;3647.612;
2020-01-16;1600;1731.322;
2020-01-16;1700;529.9;
2020-01-16;1800;535.304;
2020-01-16;1900;175.967;
2020-01-16;2000;238.942;
2020-01-16;2100;618.055;
2020-01-16;2200;194.867;
2020-01-16;2300;10.151;
2020-01-17;0000;-2.451;
2020-01-17;0100;-3.388;
