Nome: COMODORO
Codigo Estacao: A913
Latitude: -13.70805555
Longitude: -59.7625
Altitude: 576.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-.853;
2020-01-01;0100;-.255;
2020-01-01;0200;-.421;
2020-01-01;0300;-.305;
2020-01-01;0400;-.414;
2020-01-01;0500;-.454;
2020-01-01;0600;-.486;
2020-01-01;0700;-.375;
2020-01-01;0800;-.381;
2020-01-01;0900;-.354;
2020-01-01;1000;1.707;
2020-01-01;1100;36.314;
2020-01-01;1200;100.082;
2020-01-01;1300;107.737;
2020-01-01;1400;123.139;
2020-01-01;1500;275.096;
2020-01-01;1600;265.272;
2020-01-01;1700;126.201;
2020-01-01;1800;226.05;
2020-01-01;1900;75.125;
2020-01-01;2000;62.87;
2020-01-01;2100;37.507;
2020-01-01;2200;40.862;
2020-01-01;2300;1.764;
2020-01-02;0000;-.387;
2020-01-02;0100;-.563;
2020-01-02;0200;-.519;
2020-01-02;0300;-.3;
2020-01-02;0400;-.313;
2020-01-02;0500;-.495;
2020-01-02;0600;-.567;
2020-01-02;0700;-.379;
2020-01-02;0800;-.263;
2020-01-02;0900;-.177;
2020-01-02;1000;.788;
2020-01-02;1100;29.348;
2020-01-02;1200;52.731;
2020-01-02;1300;64.235;
2020-01-02;1400;151.604;
2020-01-02;1500;215.214;
2020-01-02;1600;288.62;
2020-01-02;1700;238.496;
2020-01-02;1800;285.89;
2020-01-02;1900;169.895;
2020-01-02;2000;160.173;
2020-01-02;2100;108.49;
2020-01-02;2200;36.743;
2020-01-02;2300;3.889;
2020-01-03;0000;-.396;
2020-01-03;0100;-.494;
2020-01-03;0200;-.405;
2020-01-03;0300;-.288;
2020-01-03;0400;-.214;
2020-01-03;0500;-.085;
2020-01-03;0600;-.037;
2020-01-03;0700;-.152;
2020-01-03;0800;-.294;
2020-01-03;0900;-.084;
2020-01-03;1000;.943;
2020-01-03;1100;16.52;
2020-01-03;1200;37.752;
2020-01-03;1300;88.884;
2020-01-03;1400;171.798;
2020-01-03;1500;206.166;
2020-01-03;1600;250.792;
2020-01-03;1700;289.834;
2020-01-03;1800;187.633;
2020-01-03;1900;119.795;
2020-01-03;2000;50.664;
2020-01-03;2100;11.978;
2020-01-03;2200;17.469;
2020-01-03;2300;4.93;
2020-01-04;0000;-.478;
2020-01-04;0100;-.496;
2020-01-04;0200;-.493;
2020-01-04;0300;-.425;
2020-01-04;0400;-.177;
2020-01-04;0500;-.019;
2020-01-04;0600;-.178;
2020-01-04;0700;-.129;
2020-01-04;0800;-.266;
2020-01-04;0900;-.222;
2020-01-04;1000;.741;
2020-01-04;1100;22.574;
2020-01-04;1200;68.94;
2020-01-04;1300;85.715;
2020-01-04;1400;51.168;
2020-01-04;1500;32.049;
2020-01-04;1600;54.656;
2020-01-04;1700;186.683;
2020-01-04;1800;218.066;
2020-01-04;1900;277.494;
2020-01-04;2000;277.1;
2020-01-04;2100;78.51;
2020-01-04;2200;23.333;
2020-01-04;2300;2.417;
2020-01-05;0000;-.52;
2020-01-05;0100;-.471;
2020-01-05;0200;-.399;
2020-01-05;0300;-.353;
2020-01-05;0400;-.569;
2020-01-05;0500;-.348;
2020-01-05;0600;-.093;
2020-01-05;0700;-.238;
2020-01-05;0800;-.252;
2020-01-05;0900;-.606;
2020-01-05;1000;3.444;
2020-01-05;1100;49.507;
2020-01-05;1200;103.185;
2020-01-05;1300;193.978;
2020-01-05;1400;212.045;
2020-01-05;1500;332.569;
2020-01-05;1600;330.408;
2020-01-05;1700;274.423;
2020-01-05;1800;383.829;
2020-01-05;1900;213.629;
2020-01-05;2000;184.51;
2020-01-05;2100;147.553;
2020-01-05;2200;76.29;
2020-01-05;2300;6.877;
2020-01-06;0000;-1.064;
2020-01-06;0100;-.617;
2020-01-06;0200;-.695;
2020-01-06;0300;-.645;
2020-01-06;0400;-.7;
2020-01-06;0500;-.42;
2020-01-06;0600;-.602;
2020-01-06;0700;-.809;
2020-01-06;0800;-.816;
2020-01-06;0900;-.777;
2020-01-06;1000;.652;
2020-01-06;1100;28.519;
2020-01-06;1200;53.292;
2020-01-06;1300;98.96;
2020-01-06;1400;182.576;
2020-01-06;1500;344.726;
2020-01-06;1600;215.878;
2020-01-06;1700;347.58;
2020-01-06;1800;367.028;
2020-01-06;1900;159.599;
2020-01-06;2000;332.959;
2020-01-06;2100;102.163;
2020-01-06;2200;19.172;
2020-01-06;2300;1.793;
2020-01-07;0000;-.929;
2020-01-07;0100;-.812;
2020-01-07;0200;-.618;
2020-01-07;0300;-.917;
2020-01-07;0400;-.859;
2020-01-07;0500;-.717;
2020-01-07;0600;-.723;
2020-01-07;0700;-.973;
2020-01-07;0800;-.865;
2020-01-07;0900;-.577;
2020-01-07;1000;1.286;
2020-01-07;1100;30.762;
2020-01-07;1200;121.894;
2020-01-07;1300;275.863;
2020-01-07;1400;331.854;
2020-01-07;1500;412.816;
2020-01-07;1600;466.336;
2020-01-07;1700;319.955;
2020-01-07;1800;186.157;
2020-01-07;1900;254.19;
2020-01-07;2000;318.919;
2020-01-07;2100;69.952;
2020-01-07;2200;19.54;
2020-01-07;2300;.693;
2020-01-08;0000;-.296;
2020-01-08;0100;-.281;
2020-01-08;0200;-.157;
2020-01-08;0300;-.17;
2020-01-08;0400;-.404;
2020-01-08;0500;-.283;
2020-01-08;0600;-.046;
2020-01-08;0700;-.152;
2020-01-08;0800;-.088;
2020-01-08;0900;-.251;
2020-01-08;1000;.166;
2020-01-08;1100;14;
2020-01-08;1200;49.12;
2020-01-08;1300;55.305;
2020-01-08;1400;164.978;
2020-01-08;1500;225.12;
2020-01-08;1600;108.421;
2020-01-08;1700;56.061;
2020-01-08;1800;98.036;
2020-01-08;1900;33.914;
2020-01-08;2000;15.93;
2020-01-08;2100;11.424;
2020-01-08;2200;9.255;
2020-01-08;2300;1.042;
2020-01-09;0000;-.658;
2020-01-09;0100;-.558;
2020-01-09;0200;-.578;
2020-01-09;0300;-.487;
2020-01-09;0400;-.4;
2020-01-09;0500;-.519;
2020-01-09;0600;-.615;
2020-01-09;0700;-.497;
2020-01-09;0800;-.676;
2020-01-09;0900;-.681;
2020-01-09;1000;.36;
2020-01-09;1100;31.493;
2020-01-09;1200;103.672;
2020-01-09;1300;122.339;
2020-01-09;1400;201.029;
2020-01-09;1500;315.138;
2020-01-09;1600;281.335;
2020-01-09;1700;372.461;
2020-01-09;1800;176.268;
2020-01-09;1900;182.173;
2020-01-09;2000;213.212;
2020-01-09;2100;78.305;
2020-01-09;2200;58.438;
2020-01-09;2300;5.043;
2020-01-10;0000;-1.138;
2020-01-10;0100;-.791;
2020-01-10;0200;-.989;
2020-01-10;0300;-.998;
2020-01-10;0400;-.783;
2020-01-10;0500;-.609;
2020-01-10;0600;-.499;
2020-01-10;0700;-.843;
2020-01-10;0800;-.683;
2020-01-10;0900;-.749;
2020-01-10;1000;.274;
2020-01-10;1100;23.553;
2020-01-10;1200;115.912;
2020-01-10;1300;294.122;
2020-01-10;1400;337.31;
2020-01-10;1500;389.609;
2020-01-10;1600;393.508;
2020-01-10;1700;280.614;
2020-01-10;1800;74.598;
2020-01-10;1900;116.538;
2020-01-10;2000;64.125;
2020-01-10;2100;153.046;
2020-01-10;2200;95.719;
2020-01-10;2300;7.8;
2020-01-11;0000;-1.097;
2020-01-11;0100;-.731;
2020-01-11;0200;-.582;
2020-01-11;0300;-.682;
2020-01-11;0400;-.38;
2020-01-11;0500;-.641;
2020-01-11;0600;-.616;
2020-01-11;0700;-.498;
2020-01-11;0800;-.268;
2020-01-11;0900;-.29;
2020-01-11;1000;1.716;
2020-01-11;1100;43.198;
2020-01-11;1200;153.803;
2020-01-11;1300;246.937;
2020-01-11;1400;257.327;
2020-01-11;1500;361.969;
2020-01-11;1600;393.648;
2020-01-11;1700;54.857;
2020-01-11;1800;62.645;
2020-01-11;1900;210.904;
2020-01-11;2000;271.961;
2020-01-11;2100;129.875;
2020-01-11;2200;34.128;
2020-01-11;2300;4.267;
2020-01-12;0000;-.856;
2020-01-12;0100;-.579;
2020-01-12;0200;-.45;
2020-01-12;0300;-.376;
2020-01-12;0400;-.32;
2020-01-12;0500;-.322;
2020-01-12;0600;-.383;
2020-01-12;0700;-.488;
2020-01-12;0800;-.399;
2020-01-12;0900;-.435;
2020-01-12;1000;.595;
2020-01-12;1100;37.147;
2020-01-12;1200;99.62;
2020-01-12;1300;185.09;
2020-01-12;1400;190.225;
2020-01-12;1500;163.3;
2020-01-12;1600;335.808;
2020-01-12;1700;438.195;
2020-01-12;1800;392.279;
2020-01-12;1900;222.44;
2020-01-12;2000;163.55;
2020-01-12;2100;70.546;
2020-01-12;2200;33.123;
2020-01-12;2300;3.388;
2020-01-13;0000;-.469;
2020-01-13;0100;-.381;
2020-01-13;0200;-.336;
2020-01-13;0300;-.336;
2020-01-13;0400;-.617;
2020-01-13;0500;-.586;
2020-01-13;0600;-.409;
2020-01-13;0700;-.391;
2020-01-13;0800;-.389;
2020-01-13;0900;-.347;
2020-01-13;1000;1.25;
2020-01-13;1100;40.434;
2020-01-13;1200;132.403;
2020-01-13;1300;156.743;
2020-01-13;1400;243.675;
2020-01-13;1500;309.955;
2020-01-13;1600;145.243;
2020-01-13;1700;261.934;
2020-01-13;1800;211.863;
2020-01-13;1900;149.857;
2020-01-13;2000;184.553;
2020-01-13;2100;203.072;
2020-01-13;2200;93.789;
2020-01-13;2300;2.242;
2020-01-14;0000;-.866;
2020-01-14;0100;-.721;
2020-01-14;0200;-.747;
2020-01-14;0300;-.68;
2020-01-14;0400;-.645;
2020-01-14;0500;-.652;
2020-01-14;0600;-.533;
2020-01-14;0700;-.61;
2020-01-14;0800;-.709;
2020-01-14;0900;-.667;
2020-01-14;1000;.807;
2020-01-14;1100;36.595;
2020-01-14;1200;173.755;
2020-01-14;1300;283.119;
2020-01-14;1400;372.675;
2020-01-14;1500;378.095;
2020-01-14;1600;305.77;
2020-01-14;1700;287.387;
2020-01-14;1800;257.614;
2020-01-14;1900;372.694;
2020-01-14;2000;299.733;
2020-01-14;2100;150.622;
2020-01-14;2200;86.791;
2020-01-14;2300;7.732;
2020-01-15;0000;-.928;
2020-01-15;0100;-.642;
2020-01-15;0200;-.845;
2020-01-15;0300;-.66;
2020-01-15;0400;-.694;
2020-01-15;0500;-.687;
2020-01-15;0600;-.499;
2020-01-15;0700;-.584;
2020-01-15;0800;-.708;
2020-01-15;0900;-.776;
2020-01-15;1000;.743;
2020-01-15;1100;32.401;
2020-01-15;1200;171.64;
2020-01-15;1300;271.833;
2020-01-15;1400;301.188;
2020-01-15;1500;343.002;
2020-01-15;1600;349.55;
2020-01-15;1700;343.074;
2020-01-15;1800;228.263;
2020-01-15;1900;363.063;
2020-01-15;2000;39.147;
2020-01-15;2100;40.765;
2020-01-15;2200;59.11;
2020-01-15;2300;3.971;
2020-01-16;0000;-.747;
2020-01-16;0100;-.803;
2020-01-16;0200;-.854;
2020-01-16;0300;-.836;
2020-01-16;0400;-.793;
2020-01-16;0500;-.736;
2020-01-16;0600;-.669;
2020-01-16;0700;-.623;
2020-01-16;0800;-.667;
2020-01-16;0900;-.598;
2020-01-16;1000;.966;
2020-01-16;1100;28.978;
2020-01-16;1200;110.015;
2020-01-16;1300;288.996;
2020-01-16;1400;339.374;
2020-01-16;1500;392.005;
2020-01-16;1600;444.462;
2020-01-16;1700;206.111;
2020-01-16;1800;394.487;
2020-01-16;1900;209.464;
2020-01-16;2000;75.612;
2020-01-16;2100;2.526;
2020-01-16;2200;4.125;
2020-01-16;2300;1.029;
2020-01-17;0000;-.671;
2020-01-17;0100;-.426;
2020-01-17;0200;-.513;
2020-01-17;0300;-.493;
2020-01-17;0400;-.485;
2020-01-17;0500;-.547;
2020-01-17;0600;-.5;
2020-01-17;0700;-.467;
2020-01-17;0800;-.631;
2020-01-17;0900;-.793;
2020-01-17;1000;.385;
2020-01-17;1100;37.301;
2020-01-17;1200;153.131;
2020-01-17;1300;272.475;
2020-01-17;1400;342.166;
2020-01-17;1500;435.39;
2020-01-17;1600;348.647;
2020-01-17;1700;320.419;
2020-01-17;1800;264.827;
2020-01-17;1900;400.054;
2020-01-17;2000;51.721;
2020-01-17;2100;78.916;
2020-01-17;2200;84.081;
2020-01-17;2300;4.943;
2020-01-18;0000;-.773;
2020-01-18;0100;-.709;
2020-01-18;0200;-.678;
2020-01-18;0300;-.557;
2020-01-18;0400;-.626;
2020-01-18;0500;-.543;
2020-01-18;0600;-.533;
2020-01-18;0700;-.637;
2020-01-18;0800;-.63;
2020-01-18;0900;-.593;
2020-01-18;1000;.274;
2020-01-18;1100;28.691;
2020-01-18;1200;143.079;
2020-01-18;1300;281.138;
2020-01-18;1400;333.608;
2020-01-18;1500;418.506;
2020-01-18;1600;406.822;
2020-01-18;1700;395.268;
2020-01-18;1800;446.443;
2020-01-18;1900;240.991;
2020-01-18;2000;11.918;
2020-01-18;2100;12.598;
2020-01-18;2200;15.79;
2020-01-18;2300;1.447;
2020-01-19;0000;-.566;
2020-01-19;0100;-.61;
2020-01-19;0200;-.569;
2020-01-19;0300;-.509;
2020-01-19;0400;-.628;
2020-01-19;0500;-.502;
2020-01-19;0600;-.538;
2020-01-19;0700;-.431;
2020-01-19;0800;-.207;
2020-01-19;0900;-.437;
2020-01-19;1000;.873;
2020-01-19;1100;28.238;
2020-01-19;1200;148.558;
2020-01-19;1300;266.71;
2020-01-19;1400;114.587;
2020-01-19;1500;252.13;
2020-01-19;1600;314.038;
2020-01-19;1700;378.59;
2020-01-19;1800;479.775;
2020-01-19;1900;327.995;
2020-01-19;2000;57.435;
2020-01-19;2100;24.596;
2020-01-19;2200;16.328;
2020-01-19;2300;3.359;
2020-01-20;0000;-.787;
2020-01-20;0100;-.861;
2020-01-20;0200;-.679;
2020-01-20;0300;-.557;
2020-01-20;0400;-.344;
2020-01-20;0500;-.431;
2020-01-20;0600;-.45;
2020-01-20;0700;-.273;
2020-01-20;0800;-.278;
2020-01-20;0900;-.288;
2020-01-20;1000;.49;
2020-01-20;1100;25.906;
2020-01-20;1200;70.77;
2020-01-20;1300;130.178;
2020-01-20;1400;139.551;
2020-01-20;1500;72.438;
2020-01-20;1600;161.605;
2020-01-20;1700;319.945;
2020-01-20;1800;407.078;
2020-01-20;1900;387.771;
2020-01-20;2000;289.354;
2020-01-20;2100;163.2;
2020-01-20;2200;89.31;
2020-01-20;2300;8.654;
2020-01-21;0000;-1.213;
2020-01-21;0100;-.809;
2020-01-21;0200;-.8;
2020-01-21;0300;-.765;
2020-01-21;0400;-.609;
2020-01-21;0500;-.602;
2020-01-21;0600;-.831;
2020-01-21;0700;-.818;
2020-01-21;0800;-.697;
2020-01-21;0900;-.552;
2020-01-21;1000;.376;
2020-01-21;1100;36.557;
2020-01-21;1200;174.041;
2020-01-21;1300;272.575;
2020-01-21;1400;349.841;
2020-01-21;1500;348.081;
2020-01-21;1600;360.964;
2020-01-21;1700;412.991;
2020-01-21;1800;294.59;
2020-01-21;1900;356.925;
2020-01-21;2000;290.372;
2020-01-21;2100;164.576;
2020-01-21;2200;62.719;
2020-01-21;2300;6.503;
2020-01-22;0000;-1.316;
2020-01-22;0100;-.89;
2020-01-22;0200;-.654;
2020-01-22;0300;-.724;
2020-01-22;0400;-.84;
2020-01-22;0500;-.829;
2020-01-22;0600;-.712;
2020-01-22;0700;-.598;
2020-01-22;0800;-.617;
2020-01-22;0900;-.633;
2020-01-22;1000;.047;
2020-01-22;1100;26.159;
2020-01-22;1200;68.234;
2020-01-22;1300;105.485;
2020-01-22;1400;218.778;
2020-01-22;1500;235.011;
2020-01-22;1600;206.72;
2020-01-22;1700;137.468;
2020-01-22;1800;242.371;
2020-01-22;1900;198.737;
2020-01-22;2000;131.612;
2020-01-22;2100;79.315;
2020-01-22;2200;45.819;
2020-01-22;2300;4.644;
2020-01-23;0000;-.826;
2020-01-23;0100;-.449;
2020-01-23;0200;-.275;
2020-01-23;0300;-.291;
2020-01-23;0400;-.474;
2020-01-23;0500;-.345;
2020-01-23;0600;-.266;
2020-01-23;0700;-.18;
2020-01-23;0800;-.026;
2020-01-23;0900;-.031;
2020-01-23;1000;.464;
2020-01-23;1100;17.505;
2020-01-23;1200;26.088;
2020-01-23;1300;88.243;
2020-01-23;1400;208.215;
2020-01-23;1500;187.744;
2020-01-23;1600;220.32;
2020-01-23;1700;427.048;
2020-01-23;1800;222.811;
2020-01-23;1900;257.478;
2020-01-23;2000;223.564;
2020-01-23;2100;187.367;
2020-01-23;2200;50.06;
2020-01-23;2300;6.411;
2020-01-24;0000;-.828;
2020-01-24;0100;-.373;
2020-01-24;0200;-.345;
2020-01-24;0300;-.207;
2020-01-24;0400;-.206;
2020-01-24;0500;-.219;
2020-01-24;0600;-.402;
2020-01-24;0700;-.567;
2020-01-24;0800;-.608;
2020-01-24;0900;-.416;
2020-01-24;1000;.652;
2020-01-24;1100;32.325;
2020-01-24;1200;124.717;
2020-01-24;1300;124.631;
2020-01-24;1400;186.508;
2020-01-24;1500;120.786;
2020-01-24;1600;323.229;
2020-01-24;1700;427.334;
2020-01-24;1800;203.951;
2020-01-24;1900;256.877;
2020-01-24;2000;261.171;
2020-01-24;2100;204.373;
2020-01-24;2200;88.225;
2020-01-24;2300;7.11;
2020-01-25;0000;-1.268;
2020-01-25;0100;-.796;
2020-01-25;0200;-.851;
2020-01-25;0300;-.676;
2020-01-25;0400;-.779;
2020-01-25;0500;-.659;
2020-01-25;0600;-.804;
2020-01-25;0700;-.864;
2020-01-25;0800;-.743;
2020-01-25;0900;-.805;
2020-01-25;1000;.602;
2020-01-25;1100;42.26;
2020-01-25;1200;178.522;
2020-01-25;1300;288.404;
2020-01-25;1400;315.002;
2020-01-25;1500;292.783;
2020-01-25;1600;332.899;
2020-01-25;1700;464.996;
2020-01-25;1800;449.114;
2020-01-25;1900;382.476;
2020-01-25;2000;305.42;
2020-01-25;2100;182.123;
2020-01-25;2200;84.771;
2020-01-25;2300;5.542;
2020-01-26;0000;-1.328;
2020-01-26;0100;-.989;
2020-01-26;0200;-.816;
2020-01-26;0300;-.718;
2020-01-26;0400;-.707;
2020-01-26;0500;-.707;
2020-01-26;0600;-.752;
2020-01-26;0700;-.845;
2020-01-26;0800;-.78;
2020-01-26;0900;-.686;
2020-01-26;1000;-.002;
2020-01-26;1100;26.67;
2020-01-26;1200;155.652;
2020-01-26;1300;272.411;
2020-01-26;1400;363.305;
2020-01-26;1500;314.172;
2020-01-26;1600;316.832;
2020-01-26;1700;429.318;
2020-01-26;1800;368.149;
2020-01-26;1900;277.676;
2020-01-26;2000;142.087;
2020-01-26;2100;32.591;
2020-01-26;2200;32.178;
2020-01-26;2300;4.732;
2020-01-27;0000;-.642;
2020-01-27;0100;-.678;
2020-01-27;0200;-.62;
2020-01-27;0300;-.533;
2020-01-27;0400;-.745;
2020-01-27;0500;-.652;
2020-01-27;0600;-.504;
2020-01-27;0700;-.324;
2020-01-27;0800;-.27;
2020-01-27;0900;-.255;
2020-01-27;1000;.588;
2020-01-27;1100;33.022;
2020-01-27;1200;161.222;
2020-01-27;1300;153.29;
2020-01-27;1400;273.259;
2020-01-27;1500;390.263;
