Nome: QUERENCIA
Codigo Estacao: A916
Latitude: -12.60305555
Longitude: -52.1625
Altitude: 355
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;0;
2020-01-01;0100;0;
2020-01-01;0200;0;
2020-01-01;0300;0;
2020-01-01;0400;0;
2020-01-01;0500;0;
2020-01-01;0600;.749;
2020-01-01;0700;0;
2020-01-01;0800;0;
2020-01-01;0900;0;
2020-01-01;1000;176.702;
2020-01-01;1100;413.717;
2020-01-01;1200;1278.791;
2020-01-01;1300;1741.052;
2020-01-01;1400;1844.103;
2020-01-01;1500;2115.866;
2020-01-01;1600;2273.166;
2020-01-01;1700;2423.239;
2020-01-01;1800;2710.045;
2020-01-01;1900;2008.983;
2020-01-01;2000;1192.403;
2020-01-01;2100;563.033;
2020-01-01;2200;90.991;
2020-01-01;2300;0;
2020-01-02;0000;0;
2020-01-02;0100;0;
2020-01-02;0200;0;
2020-01-02;0300;0;
2020-01-02;0400;0;
2020-01-02;0500;0;
2020-01-02;0600;0;
2020-01-02;0700;0;
2020-01-02;0800;0;
2020-01-02;0900;0;
2020-01-02;1000;39.267;
2020-01-02;1100;298.749;
2020-01-02;1200;828.948;
2020-01-02;1300;1714.408;
2020-01-02;1400;2597.892;
2020-01-02;1500;2275.308;
2020-01-02;1600;2983.023;
2020-01-02;1700;1972.132;
2020-01-02;1800;2197.76;
2020-01-02;1900;2167.825;
2020-01-02;2000;1790.804;
2020-01-02;2100;483.34;
2020-01-02;2200;144.121;
2020-01-02;2300;0;
2020-01-03;0000;0;
2020-01-03;0100;0;
2020-01-03;0200;0;
2020-01-03;0300;0;
2020-01-03;0400;0;
2020-01-03;0500;0;
2020-01-03;0600;0;
2020-01-03;0700;0;
2020-01-03;0800;.062;
2020-01-03;0900;0;
2020-01-03;1000;43.902;
2020-01-03;1100;333.548;
2020-01-03;1200;508.638;
2020-01-03;1300;547.438;
2020-01-03;1400;1530.784;
2020-01-03;1500;1388.242;
2020-01-03;1600;1411.162;
2020-01-03;1700;2322.902;
2020-01-03;1800;1555.917;
2020-01-03;1900;871.799;
2020-01-03;2000;612.771;
2020-01-03;2100;379.073;
2020-01-03;2200;89.751;
2020-01-03;2300;0;
2020-01-04;0000;0;
2020-01-04;0100;.196;
2020-01-04;0200;0;
2020-01-04;0300;0;
2020-01-04;0400;.031;
2020-01-04;0500;.022;
2020-01-04;0600;0;
2020-01-04;0700;0;
2020-01-04;0800;.003;
2020-01-04;0900;0;
2020-01-04;1000;26.147;
2020-01-04;1100;222.134;
2020-01-04;1200;325.993;
2020-01-04;1300;600.159;
2020-01-04;1400;543.793;
2020-01-04;1500;478.207;
2020-01-04;1600;355.527;
2020-01-04;1700;803.404;
2020-01-04;1800;631.142;
2020-01-04;1900;772.832;
2020-01-04;2000;594.703;
2020-01-04;2100;364.657;
2020-01-04;2200;67.181;
2020-01-04;2300;0;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;0;
2020-01-05;0300;0;
2020-01-05;0400;0;
2020-01-05;0500;2.156;
2020-01-05;0600;0;
2020-01-05;0700;.003;
2020-01-05;0800;0;
2020-01-05;0900;0;
2020-01-05;1000;61.992;
2020-01-05;1100;334.933;
2020-01-05;1200;520.898;
2020-01-05;1300;1156.775;
2020-01-05;1400;1449.951;
2020-01-05;1500;697.053;
2020-01-05;1600;1337.724;
2020-01-05;1700;1031.543;
2020-01-05;1800;459.217;
2020-01-05;1900;706.391;
2020-01-05;2000;719.733;
2020-01-05;2100;279.652;
2020-01-05;2200;39.881;
2020-01-05;2300;.107;
2020-01-06;0000;.028;
2020-01-06;0100;.039;
2020-01-06;0200;.283;
2020-01-06;0300;.008;
2020-01-06;0400;0;
2020-01-06;0500;.003;
2020-01-06;0600;0;
2020-01-06;0700;0;
2020-01-06;0800;.003;
2020-01-06;0900;0;
2020-01-06;1000;80.539;
2020-01-06;1100;369.493;
2020-01-06;1200;547.382;
2020-01-06;1300;1314.815;
2020-01-06;1400;2604.925;
2020-01-06;1500;2282.555;
2020-01-06;1600;3234.887;
2020-01-06;1700;1431.79;
2020-01-06;1800;1405.287;
2020-01-06;1900;750.691;
2020-01-06;2000;502.232;
2020-01-06;2100;378.389;
2020-01-06;2200;39.153;
2020-01-06;2300;0;
2020-01-07;0000;0;
2020-01-07;0100;0;
2020-01-07;0200;0;
2020-01-07;0300;0;
2020-01-07;0400;0;
2020-01-07;0500;0;
2020-01-07;0600;0;
2020-01-07;0700;0;
2020-01-07;0800;0;
2020-01-07;0900;.011;
2020-01-07;1000;66.918;
2020-01-07;1100;332.247;
2020-01-07;1200;504.015;
2020-01-07;1300;636.808;
2020-01-07;1400;786.303;
2020-01-07;1500;1245.458;
2020-01-07;1600;1774.351;
2020-01-07;1700;1768.049;
2020-01-07;1800;1569.926;
2020-01-07;1900;903.615;
2020-01-07;2000;627.366;
2020-01-07;2100;568.573;
2020-01-07;2200;87.727;
2020-01-07;2300;0;
2020-01-08;0000;0;
2020-01-08;0100;0;
2020-01-08;0200;0;
2020-01-08;0300;0;
2020-01-08;0400;.003;
2020-01-08;0500;0;
2020-01-08;0600;0;
2020-01-08;0700;0;
2020-01-08;0800;0;
2020-01-08;0900;0;
2020-01-08;1000;73.492;
2020-01-08;1100;406.927;
2020-01-08;1200;1195.521;
2020-01-08;1300;2151.195;
2020-01-08;1400;1802.377;
2020-01-08;1500;1518.486;
2020-01-08;1600;1893.09;
2020-01-08;1700;1666.506;
2020-01-08;1800;1285.895;
2020-01-08;1900;1200.2;
2020-01-08;2000;310.992;
2020-01-08;2100;71.496;
2020-01-08;2200;65.639;
2020-01-08;2300;0;
2020-01-09;0000;0;
2020-01-09;0100;0;
2020-01-09;0200;0;
2020-01-09;0300;0;
2020-01-09;0400;.093;
2020-01-09;0500;.081;
2020-01-09;0600;.087;
2020-01-09;0700;0;
2020-01-09;0800;0;
2020-01-09;0900;0;
2020-01-09;1000;80.977;
2020-01-09;1100;502.661;
2020-01-09;1200;1270.717;
2020-01-09;1300;1923.252;
2020-01-09;1400;2000.878;
2020-01-09;1500;2337.953;
2020-01-09;1600;2403.441;
2020-01-09;1700;2118.117;
2020-01-09;1800;2278.089;
2020-01-09;1900;1795.71;
2020-01-09;2000;786.359;
2020-01-09;2100;337.027;
2020-01-09;2200;75.631;
2020-01-09;2300;0;
2020-01-10;0000;0;
2020-01-10;0100;0;
2020-01-10;0200;0;
2020-01-10;0300;.003;
2020-01-10;0400;0;
2020-01-10;0500;0;
2020-01-10;0600;0;
2020-01-10;0700;.003;
2020-01-10;0800;0;
2020-01-10;0900;0;
