Nome: SANTO ANTONIO DO LESTE
Codigo Estacao: A931
Latitude: -14.92777777
Longitude: -53.8836111
Altitude: 664.21
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.539;
2020-01-01;0100;-3.521;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.529;
2020-01-01;0800;-3.536;
2020-01-01;0900;-3.4;
2020-01-01;1000;155.23;
2020-01-01;1100;461.836;
2020-01-01;1200;1339.697;
2020-01-01;1300;2624.535;
2020-01-01;1400;3369.522;
2020-01-01;1500;3822.246;
2020-01-01;1600;3993.571;
2020-01-01;1700;3782.539;
2020-01-01;1800;3238.356;
2020-01-01;1900;2307.403;
2020-01-01;2000;1000.171;
2020-01-01;2100;614.139;
2020-01-01;2200;233.112;
2020-01-01;2300;.651;
2020-01-02;0000;-3.467;
2020-01-02;0100;-3.437;
2020-01-02;0200;-3.496;
2020-01-02;0300;-3.061;
2020-01-02;0400;-3.428;
2020-01-02;0500;-2.631;
2020-01-02;0600;-2.953;
2020-01-02;0700;-1.835;
2020-01-02;0800;-1.831;
2020-01-02;0900;-1.132;
2020-01-02;1000;93.217;
2020-01-02;1100;372.429;
2020-01-02;1200;1157.344;
2020-01-02;1300;1776.645;
2020-01-02;1400;2454.679;
2020-01-02;1500;3510.758;
2020-01-02;1600;3237.343;
2020-01-02;1700;3393.21;
2020-01-02;1800;2589.163;
2020-01-02;1900;2284.817;
2020-01-02;2000;2104.166;
2020-01-02;2100;562.381;
2020-01-02;2200;142.196;
2020-01-02;2300;-2.783;
2020-01-03;0000;-3.016;
2020-01-03;0100;-3.506;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.52;
2020-01-03;0400;-3.497;
2020-01-03;0500;-3.333;
2020-01-03;0600;-3.168;
2020-01-03;0700;-3.173;
2020-01-03;0800;-3.539;
2020-01-03;0900;-3.463;
2020-01-03;1000;96.836;
2020-01-03;1100;726.785;
2020-01-03;1200;791.9;
2020-01-03;1300;1497.051;
2020-01-03;1400;3236.776;
2020-01-03;1500;3262.033;
2020-01-03;1600;3674.781;
2020-01-03;1700;3351.802;
2020-01-03;1800;3047.838;
2020-01-03;1900;1094.819;
2020-01-03;2000;273.351;
2020-01-03;2100;57.83;
2020-01-03;2200;81.719;
2020-01-03;2300;6.754;
2020-01-04;0000;-2.804;
2020-01-04;0100;-2.805;
2020-01-04;0200;-3.302;
2020-01-04;0300;-2.775;
2020-01-04;0400;-2.363;
2020-01-04;0500;-2.023;
2020-01-04;0600;-2.217;
2020-01-04;0700;-2.156;
2020-01-04;0800;-.05;
2020-01-04;0900;.114;
2020-01-04;1000;118.226;
2020-01-04;1100;754.12;
2020-01-04;1200;1000.161;
2020-01-04;1300;911.371;
2020-01-04;1400;1561.86;
2020-01-04;1500;1706.609;
2020-01-04;1600;998.555;
2020-01-04;1700;2384.991;
2020-01-04;1800;715.201;
2020-01-04;1900;1397.038;
2020-01-04;2000;483.206;
2020-01-04;2100;304.549;
2020-01-04;2200;55.729;
2020-01-04;2300;15.078;
2020-01-05;0000;-2.403;
2020-01-05;0100;-3.269;
2020-01-05;0200;-3.433;
2020-01-05;0300;-3.054;
2020-01-05;0400;-2.051;
2020-01-05;0500;-.26;
2020-01-05;0600;1.266;
2020-01-05;0700;.703;
2020-01-05;0800;-.228;
2020-01-05;0900;-1.364;
2020-01-05;1000;22.954;
2020-01-05;1100;111.811;
2020-01-05;1200;314.706;
2020-01-05;1300;1316.582;
2020-01-05;1400;2322.712;
2020-01-05;1500;2929.587;
2020-01-05;1600;4151.055;
2020-01-05;1700;2794.119;
2020-01-05;1800;2152.064;
2020-01-05;1900;2345.983;
2020-01-05;2000;1782.856;
2020-01-05;2100;958.095;
2020-01-05;2200;384.73;
2020-01-05;2300;.964;
2020-01-06;0000;-3.011;
2020-01-06;0100;-2.963;
2020-01-06;0200;-2.863;
2020-01-06;0300;-3.468;
2020-01-06;0400;-2.977;
2020-01-06;0500;-3.203;
2020-01-06;0600;-1.82;
2020-01-06;0700;.574;
2020-01-06;0800;-.278;
2020-01-06;0900;-.207;
2020-01-06;1000;30.638;
2020-01-06;1100;130.541;
2020-01-06;1200;824.436;
2020-01-06;1300;1737.352;
2020-01-06;1400;1374.274;
2020-01-06;1500;884.846;
2020-01-06;1600;2502.579;
2020-01-06;1700;2240.418;
2020-01-06;1800;2581.05;
2020-01-06;1900;2192.977;
2020-01-06;2000;1852.513;
2020-01-06;2100;852.306;
2020-01-06;2200;378.533;
2020-01-06;2300;15.607;
2020-01-07;0000;-3.378;
2020-01-07;0100;-2.686;
2020-01-07;0200;-3.258;
2020-01-07;0300;-2.928;
2020-01-07;0400;-2.822;
2020-01-07;0500;-3.158;
2020-01-07;0600;-2.446;
2020-01-07;0700;-1.438;
2020-01-07;0800;-1.979;
2020-01-07;0900;-2.125;
2020-01-07;1000;43.542;
2020-01-07;1100;458.119;
2020-01-07;1200;830.148;
