Nome: GUIRATINGA
Codigo Estacao: A932
Latitude: -16.34166666
Longitude: -53.76611111
Altitude: 525.43
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.155;
2020-01-01;0200;-2.951;
2020-01-01;0300;-2.316;
2020-01-01;0400;-2.853;
2020-01-01;0500;-3.436;
2020-01-01;0600;-3.179;
2020-01-01;0700;-2.798;
2020-01-01;0800;-3.414;
2020-01-01;0900;-3.064;
2020-01-01;1000;172.739;
2020-01-01;1100;919.697;
2020-01-01;1200;1752.11;
2020-01-01;1300;2546.854;
2020-01-01;1400;3242.346;
2020-01-01;1500;3357.632;
2020-01-01;1600;3091.357;
2020-01-01;1700;3201.624;
2020-01-01;1800;3363.974;
2020-01-01;1900;3008.657;
2020-01-01;2000;1906.666;
2020-01-01;2100;1383.433;
2020-01-01;2200;408.481;
2020-01-01;2300;1.789;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.536;
2020-01-02;0700;-3.365;
2020-01-02;0800;-2.794;
2020-01-02;0900;-3.522;
2020-01-02;1000;95.421;
2020-01-02;1100;482.599;
2020-01-02;1200;1229.508;
2020-01-02;1300;1238.622;
2020-01-02;1400;2313.468;
2020-01-02;1500;2565.814;
2020-01-02;1600;3463.361;
2020-01-02;1700;3107.26;
2020-01-02;1800;3213.043;
2020-01-02;1900;1880.32;
2020-01-02;2000;729.668;
2020-01-02;2100;471.284;
2020-01-02;2200;113.498;
2020-01-02;2300;-1.862;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.536;
2020-01-03;0500;-3.18;
2020-01-03;0600;-2.464;
2020-01-03;0700;-3.489;
2020-01-03;0800;-3.536;
2020-01-03;0900;-2.702;
2020-01-03;1000;169.512;
2020-01-03;1100;815.763;
2020-01-03;1200;1312.376;
2020-01-03;1300;1362.755;
2020-01-03;1400;2076.688;
2020-01-03;1500;2285.704;
2020-01-03;1600;2397.052;
2020-01-03;1700;2434.076;
2020-01-03;1800;1358.757;
2020-01-03;1900;654.093;
2020-01-03;2000;766.625;
2020-01-03;2100;789.374;
2020-01-03;2200;204.025;
2020-01-03;2300;3.366;
2020-01-04;0000;-3.526;
2020-01-04;0100;-3.511;
2020-01-04;0200;-2.775;
2020-01-04;0300;-3.165;
2020-01-04;0400;-2.43;
2020-01-04;0500;-2.655;
2020-01-04;0600;-3.247;
2020-01-04;0700;-2.078;
2020-01-04;0800;-2.111;
2020-01-04;0900;-1.905;
2020-01-04;1000;54.019;
2020-01-04;1100;411.897;
2020-01-04;1200;1680.363;
2020-01-04;1300;2555.036;
2020-01-04;1400;3001.303;
2020-01-04;1500;3159.94;
2020-01-04;1600;3251.925;
2020-01-04;1700;2622.016;
2020-01-04;1800;3100.599;
2020-01-04;1900;1909.69;
2020-01-04;2000;1807.31;
2020-01-04;2100;569.34;
2020-01-04;2200;205.176;
2020-01-04;2300;4.131;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.54;
2020-01-05;0500;-3.54;
2020-01-05;0600;-3.54;
2020-01-05;0700;-3.538;
2020-01-05;0800;-3.524;
2020-01-05;0900;-3.468;
2020-01-05;1000;163.783;
2020-01-05;1100;873.845;
2020-01-05;1200;1621.012;
2020-01-05;1300;2419.725;
2020-01-05;1400;2927.058;
2020-01-05;1500;3128.002;
2020-01-05;1600;2258.11;
2020-01-05;1700;2817.662;
2020-01-05;1800;2806.156;
2020-01-05;1900;1616.094;
2020-01-05;2000;1402.357;
2020-01-05;2100;1188.161;
2020-01-05;2200;194.902;
2020-01-05;2300;.729;
2020-01-06;0000;-3.454;
2020-01-06;0100;-3.526;
2020-01-06;0200;-2.776;
2020-01-06;0300;-3.279;
2020-01-06;0400;-2.408;
2020-01-06;0500;-2.826;
2020-01-06;0600;-2.896;
2020-01-06;0700;-2.806;
2020-01-06;0800;-2.189;
2020-01-06;0900;-2.36;
2020-01-06;1000;128.58;
2020-01-06;1100;692.28;
2020-01-06;1200;496.731;
2020-01-06;1300;958.607;
2020-01-06;1400;1722.946;
2020-01-06;1500;2442.276;
2020-01-06;1600;3200.119;
2020-01-06;1700;2853.347;
2020-01-06;1800;2797.658;
2020-01-06;1900;2638.866;
2020-01-06;2000;829.905;
2020-01-06;2100;631.01;
2020-01-06;2200;192.437;
2020-01-06;2300;1.305;
2020-01-07;0000;-3.436;
2020-01-07;0100;-2.91;
2020-01-07;0200;-2.24;
2020-01-07;0300;-2.567;
2020-01-07;0400;-2.501;
2020-01-07;0500;-3.258;
2020-01-07;0600;-3.294;
2020-01-07;0700;-3.151;
2020-01-07;0800;-3.106;
2020-01-07;0900;-3.491;
2020-01-07;1000;137.284;
2020-01-07;1100;795.507;
2020-01-07;1200;813.273;
2020-01-07;1300;976.212;
2020-01-07;1400;2385.537;
2020-01-07;1500;1933.507;
2020-01-07;1600;2802.476;
2020-01-07;1700;3038.673;
2020-01-07;1800;2401.755;
2020-01-07;1900;900.273;
2020-01-07;2000;78.065;
2020-01-07;2100;76.717;
2020-01-07;2200;43.995;
2020-01-07;2300;2.919;
2020-01-08;0000;-2.546;
2020-01-08;0100;-2.411;
2020-01-08;0200;-3.371;
2020-01-08;0300;-3.393;
2020-01-08;0400;-1.4;
2020-01-08;0500;-1.451;
2020-01-08;0600;-2.004;
2020-01-08;0700;-1.874;
2020-01-08;0800;-2.122;
2020-01-08;0900;-1.304;
2020-01-08;1000;30.834;
2020-01-08;1100;500.827;
2020-01-08;1200;748.057;
2020-01-08;1300;872.837;
2020-01-08;1400;1050.913;
2020-01-08;1500;1491.97;
2020-01-08;1600;2896.902;
2020-01-08;1700;2241.861;
2020-01-08;1800;1907.006;
2020-01-08;1900;1017.736;
2020-01-08;2000;550.751;
2020-01-08;2100;419.192;
2020-01-08;2200;87.343;
2020-01-08;2300;-1.188;
2020-01-09;0000;-3.416;
2020-01-09;0100;-3.536;
2020-01-09;0200;-3.54;
2020-01-09;0300;-3.454;
2020-01-09;0400;-3.534;
2020-01-09;0500;-3.522;
2020-01-09;0600;-3.298;
2020-01-09;0700;-3.037;
2020-01-09;0800;-2.161;
2020-01-09;0900;-3.171;
2020-01-09;1000;31.561;
2020-01-09;1100;186.27;
2020-01-09;1200;364.335;
2020-01-09;1300;628.066;
2020-01-09;1400;814.992;
2020-01-09;1500;1831.385;
2020-01-09;1600;2412.096;
2020-01-09;1700;3784.168;
2020-01-09;1800;2791.431;
2020-01-09;1900;2000.779;
2020-01-09;2000;1957.911;
2020-01-09;2100;1224.778;
2020-01-09;2200;336.115;
2020-01-09;2300;4.123;
2020-01-10;0000;-3.119;
2020-01-10;0100;-3.54;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.54;
2020-01-10;0400;-3.456;
2020-01-10;0500;-2.994;
2020-01-10;0600;-3.442;
2020-01-10;0700;-3.456;
2020-01-10;0800;-3.456;
2020-01-10;0900;-3.491;
2020-01-10;1000;56.318;
2020-01-10;1100;378.573;
2020-01-10;1200;689.314;
2020-01-10;1300;938.739;
2020-01-10;1400;1491.427;
2020-01-10;1500;2081.436;
2020-01-10;1600;2938.583;
2020-01-10;1700;3507.149;
2020-01-10;1800;2463.207;
2020-01-10;1900;393.171;
2020-01-10;2000;1724.567;
2020-01-10;2100;1511.015;
2020-01-10;2200;352.549;
2020-01-10;2300;7.619;
2020-01-11;0000;-3.349;
2020-01-11;0100;-3.54;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.54;
2020-01-11;0400;-3.54;
2020-01-11;0500;-3.54;
2020-01-11;0600;-3.54;
2020-01-11;0700;-3.54;
2020-01-11;0800;-3.52;
2020-01-11;0900;-3.456;
2020-01-11;1000;114.081;
2020-01-11;1100;610.208;
2020-01-11;1200;1283.012;
2020-01-11;1300;1972.842;
2020-01-11;1400;2984.545;
2020-01-11;1500;2194.412;
2020-01-11;1600;2469.682;
2020-01-11;1700;3008.061;
2020-01-11;1800;338.173;
2020-01-11;1900;2028.722;
2020-01-11;2000;1971.063;
2020-01-11;2100;1106.341;
2020-01-11;2200;170.747;
2020-01-11;2300;1.634;
2020-01-12;0000;-3.54;
2020-01-12;0100;-3.54;
2020-01-12;0200;-3.308;
2020-01-12;0300;-2.59;
2020-01-12;0400;-3.532;
2020-01-12;0500;-3.294;
2020-01-12;0600;-3.022;
2020-01-12;0700;-3.302;
2020-01-12;0800;-3.54;
2020-01-12;0900;-3.538;
2020-01-12;1000;140.665;
2020-01-12;1100;940.348;
2020-01-12;1200;907.896;
2020-01-12;1300;1898.551;
2020-01-12;1400;3169.865;
2020-01-12;1500;3366.725;
2020-01-12;1600;2761.803;
2020-01-12;1700;3495.181;
2020-01-12;1800;3464.32;
2020-01-12;1900;2447.668;
2020-01-12;2000;2088.659;
2020-01-12;2100;1198.01;
2020-01-12;2200;131.091;
2020-01-12;2300;.075;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.54;
2020-01-13;0300;-3.54;
2020-01-13;0400;-3.54;
2020-01-13;0500;-3.54;
2020-01-13;0600;-3.54;
2020-01-13;0700;-3.54;
2020-01-13;0800;-3.54;
2020-01-13;0900;-3.54;
2020-01-13;1000;76.446;
2020-01-13;1100;555.882;
2020-01-13;1200;1255.585;
2020-01-13;1300;2295.149;
2020-01-13;1400;2306.355;
2020-01-13;1500;2119.702;
2020-01-13;1600;2172.036;
2020-01-13;1700;2115.664;
2020-01-13;1800;1967.847;
2020-01-13;1900;1996.586;
2020-01-13;2000;2384.553;
2020-01-13;2100;371.56;
2020-01-13;2200;289.47;
2020-01-13;2300;1.825;
2020-01-14;0000;-3.54;
2020-01-14;0100;-3.54;
2020-01-14;0200;-3.54;
2020-01-14;0300;-3.54;
2020-01-14;0400;-3.54;
2020-01-14;0500;-3.54;
2020-01-14;0600;-3.54;
2020-01-14;0700;-3.54;
2020-01-14;0800;-3.534;
2020-01-14;0900;-3.516;
2020-01-14;1000;122.644;
2020-01-14;1100;715.639;
2020-01-14;1200;1479.189;
2020-01-14;1300;2376.681;
2020-01-14;1400;2878.179;
2020-01-14;1500;3424.224;
2020-01-14;1600;3397.033;
2020-01-14;1700;3391.611;
2020-01-14;1800;3449.854;
2020-01-14;1900;2932.857;
2020-01-14;2000;2141.215;
2020-01-14;2100;1274.772;
2020-01-14;2200;300.063;
2020-01-14;2300;8.834;
2020-01-15;0000;-3.54;
2020-01-15;0100;-3.54;
2020-01-15;0200;-3.54;
2020-01-15;0300;-3.54;
2020-01-15;0400;-3.54;
2020-01-15;0500;-3.54;
2020-01-15;0600;-3.54;
2020-01-15;0700;-3.54;
2020-01-15;0800;-3.54;
2020-01-15;0900;-3.54;
2020-01-15;1000;129.163;
2020-01-15;1100;824.473;
2020-01-15;1200;1702.568;
2020-01-15;1300;2552.829;
2020-01-15;1400;3150.407;
2020-01-15;1500;3177.698;
2020-01-15;1600;2990.298;
2020-01-15;1700;3387.47;
2020-01-15;1800;3235.151;
2020-01-15;1900;1702.328;
2020-01-15;2000;1538.284;
2020-01-15;2100;773.15;
2020-01-15;2200;180.806;
2020-01-15;2300;11.019;
2020-01-16;0000;-3.54;
2020-01-16;0100;-3.54;
2020-01-16;0200;-3.54;
2020-01-16;0300;-3.54;
2020-01-16;0400;-3.54;
2020-01-16;0500;-3.11;
2020-01-16;0600;-3.54;
2020-01-16;0700;-3.54;
2020-01-16;0800;-3.54;
2020-01-16;0900;-3.54;
2020-01-16;1000;77.653;
2020-01-16;1100;755.793;
2020-01-16;1200;1701.09;
2020-01-16;1300;2541.059;
2020-01-16;1400;2868.539;
2020-01-16;1500;3212.032;
2020-01-16;1600;2641.219;
2020-01-16;1700;1581.314;
2020-01-16;1800;1063.309;
2020-01-16;1900;1823.34;
2020-01-16;2000;1462.703;
2020-01-16;2100;763.711;
2020-01-16;2200;143.706;
2020-01-16;2300;-.818;
2020-01-17;0000;-3.536;
2020-01-17;0100;-3.54;
2020-01-17;0200;-3.489;
2020-01-17;0300;-3.125;
2020-01-17;0400;-3.54;
2020-01-17;0500;-3.54;
2020-01-17;0600;-3.54;
2020-01-17;0700;-3.495;
2020-01-17;0800;-3.54;
2020-01-17;0900;-3.497;
2020-01-17;1000;13.777;
2020-01-17;1100;118.313;
2020-01-17;1200;442.338;
2020-01-17;1300;784.601;
2020-01-17;1400;633.971;
2020-01-17;1500;1048.672;
2020-01-17;1600;579.641;
2020-01-17;1700;1050.625;
2020-01-17;1800;1368.247;
2020-01-17;1900;1087.308;
2020-01-17;2000;1223.379;
2020-01-17;2100;915.753;
2020-01-17;2200;291.966;
2020-01-17;2300;5.564;
2020-01-18;0000;-3.54;
2020-01-18;0100;-3.54;
2020-01-18;0200;-3.54;
2020-01-18;0300;-3.54;
2020-01-18;0400;-3.54;
2020-01-18;0500;-3.54;
2020-01-18;0600;-3.536;
2020-01-18;0700;-3.54;
2020-01-18;0800;-3.54;
2020-01-18;0900;-3.513;
2020-01-18;1000;49.04;
2020-01-18;1100;403.147;
2020-01-18;1200;998.159;
2020-01-18;1300;2420.715;
2020-01-18;1400;3093.667;
2020-01-18;1500;2220.339;
2020-01-18;1600;2690.618;
2020-01-18;1700;2987.842;
2020-01-18;1800;2067.768;
2020-01-18;1900;2209.315;
2020-01-18;2000;2029.593;
2020-01-18;2100;1145.982;
2020-01-18;2200;218.722;
2020-01-18;2300;1.315;
2020-01-19;0000;-3.54;
2020-01-19;0100;-3.54;
2020-01-19;0200;-3.54;
2020-01-19;0300;-3.54;
2020-01-19;0400;-3.418;
2020-01-19;0500;-3.348;
2020-01-19;0600;-3.448;
2020-01-19;0700;-3.54;
