Nome: ALTO TAQUARI
Codigo Estacao: A934
Latitude: -17.8411111
Longitude: -53.28944444
Altitude: 862.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;914.3875;18.45;30.9;24.533333;18.6;71.083333;46;9.3;1.783333;
2020-01-02;0;914.679167;19.05;31.5;23.125;19.6;78.708333;46;11.6;3.0625;
2020-01-03;0;914.6875;18.295833;30.4;23.741667;17.9;73.666667;44;8;2.520833;
2020-01-04;0;913.541667;17.85;31;24.108333;19.8;70.666667;39;11.6;3.270833;
2020-01-05;0;912.895833;16.166667;30.9;23.833333;16.9;64.5;37;11.7;3.491667;
2020-01-06;0;913.952174;19.347826;28.9;22.556522;19.5;82.521739;57;13.8;2.969565;
2020-01-07;16.6;915.808333;19.6375;29.5;23.183333;20.7;81.166667;53;9.8;3.120833;
2020-01-08;2;916.6125;19.2375;27.5;22.9875;20;80.291667;58;7.9;2.616667;
2020-01-09;5.8;917.729167;19.025;26.5;21.670833;19.6;85.291667;65;9.1;2.045833;
2020-01-10;1.4;916.958333;18.995833;32.1;23.879167;20;76.041667;41;10;1.533333;
2020-01-11;2;916.275;19.591667;30.2;23.108333;19.1;81.541667;53;8.5;.995833;
2020-01-12;10.4;916.775;19.345833;33.3;25.291667;19.4;72.583333;37;9.8;1.933333;
2020-01-13;.2;917.75;18.975;32;23.983333;20.2;75.166667;38;19;2.3375;
2020-01-14;9.6;917.329167;18.1875;32.5;23.325;18.3;74.5;40;10.2;1.475;
2020-01-15;7;916.425;18.870833;33.3;25.745833;19.5;67.541667;37;7.9;1.529167;
2020-01-16;0;917.791667;18.7;32.7;26.1375;19.6;66.208333;39;7.1;1.604167;
2020-01-17;31.6;919.404167;19.0875;29.5;23.2125;19.1;78.625;51;11.5;2.4875;
2020-01-18;0;918.816667;19.4;28.9;24.541667;21.2;74.125;54;5.7;1.908333;
2020-01-19;0;917.35;19.3625;31.2;24.604167;21.6;73.541667;48;8.7;2.195833;
2020-01-20;0;915.420833;19.275;32.2;24.458333;19.4;74.708333;45;11.7;2.320833;
2020-01-21;20.4;913.404167;19.995833;29;23.6375;20.3;80.75;58;9.1;2.808333;
2020-01-22;11;912.433333;19.3125;28.1;22.225;20.3;83.875;64;11.2;2.8875;
2020-01-23;11.8;910.941667;19.1375;28.6;22.9;19.8;80.166667;56;10.8;3.133333;
2020-01-24;.6;911.2125;19.379167;29.5;22.816667;20.2;81.708333;55;12.8;4.266667;
2020-01-25;4.6;914.291667;19.0625;29.4;23.008333;20.1;79.5;51;11.7;2.058333;
2020-01-26;2.2;915.441667;18.208333;31.5;24.529167;18.6;70.416667;39;7.1;2.220833;
2020-01-27;0;915.65;17.433333;31.7;25.1;19.1;65.875;31;7.1;2.095833;
2020-01-28;0;915.808333;17.541667;31.6;24.9875;20.8;65.875;38;9.2;3.020833;
2020-01-29;0;917.383333;18.4375;29.5;23.4625;20.6;74.666667;51;12.8;4.504167;
2020-01-30;0;918.8375;18.770833;31.5;22.270833;20.2;81.708333;43;13.6;2.745833;
2020-01-31;5.4;919.104167;19.016667;31.5;23.070833;20.2;79.625;42;11.6;1.6;
2020-02-01;2.8;918.691304;18.734783;30.6;23.491304;20.2;76.173913;43;11.4;1.756522;
2020-02-02;.2;918.552174;18.452174;29.5;23.304348;20.2;75.695652;43;5.1;1.569565;
2020-02-03;.6;917.4125;18.1;31.5;24.983333;21.1;67.875;34;9.4;1.875;
2020-02-04;9.4;917.204167;18.958333;30.5;22.9875;20;79.375;44;8.5;2.229167;
2020-02-05;45;916.904167;19.141667;29.5;22.270833;20;83.375;52;9.7;1.929167;
2020-02-06;44.2;916.9625;19.341667;30.2;22.591667;20;82.75;48;10;1.941667;
2020-02-07;64;914.570833;18.116667;28.9;22.533333;18.1;77.041667;55;11.2;2.916667;
2020-02-08;1;913.204167;18.954167;28.8;22.316667;17.9;81.958333;54;8.8;1.8875;
