Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.465;
2020-01-01;0100;-3.107;
2020-01-01;0200;-2.411;
2020-01-01;0300;-2.885;
2020-01-01;0400;-2.534;
2020-01-01;0500;-2.482;
2020-01-01;0600;-2.816;
2020-01-01;0700;-2.791;
2020-01-01;0800;-2.509;
2020-01-01;0900;-2.747;
2020-01-01;1000;23.329;
2020-01-01;1100;226.024;
2020-01-01;1200;564.162;
2020-01-01;1300;1455.417;
2020-01-01;1400;2422.792;
2020-01-01;1500;2359.254;
2020-01-01;1600;2991.262;
2020-01-01;1700;3125.938;
2020-01-01;1800;903.392;
2020-01-01;1900;839.588;
2020-01-01;2000;932.174;
2020-01-01;2100;620.34;
2020-01-01;2200;244.784;
2020-01-01;2300;11.238;
2020-01-02;0000;-3.357;
2020-01-02;0100;-3.065;
2020-01-02;0200;-2.539;
2020-01-02;0300;-2.727;
2020-01-02;0400;-2.639;
2020-01-02;0500;-2.199;
2020-01-02;0600;-2.61;
2020-01-02;0700;-.444;
2020-01-02;0800;-1.815;
2020-01-02;0900;-2.034;
2020-01-02;1000;29.042;
2020-01-02;1100;391.331;
2020-01-02;1200;845.145;
2020-01-02;1300;1142.074;
2020-01-02;1400;1471.872;
2020-01-02;1500;2741.342;
2020-01-02;1600;3589.5;
2020-01-02;1700;1797.566;
2020-01-02;1800;537.262;
2020-01-02;1900;1234.774;
2020-01-02;2000;1529.037;
2020-01-02;2100;1017.519;
2020-01-02;2200;361.448;
2020-01-02;2300;13.679;
2020-01-03;0000;-3.245;
2020-01-03;0100;-3.02;
2020-01-03;0200;-2.766;
2020-01-03;0300;-2.676;
2020-01-03;0400;-2.485;
2020-01-03;0500;-2.579;
2020-01-03;0600;-2.449;
2020-01-03;0700;-3.54;
2020-01-03;0800;-3.54;
2020-01-03;0900;-3.54;
2020-01-03;1000;34.2;
2020-01-03;1100;282.504;
2020-01-03;1200;296.027;
2020-01-03;1300;523.9;
2020-01-03;1400;1411.815;
2020-01-03;1500;2105.252;
2020-01-03;1600;2526.972;
2020-01-03;1700;2475.45;
2020-01-03;1800;3065.364;
2020-01-03;1900;2376.397;
2020-01-03;2000;1894.585;
2020-01-03;2100;678.315;
2020-01-03;2200;430.549;
2020-01-03;2300;11.042;
2020-01-04;0000;-3.514;
2020-01-04;0100;-3.525;
2020-01-04;0200;-3.31;
2020-01-04;0300;-3.538;
2020-01-04;0400;-2.857;
2020-01-04;0500;-2.369;
2020-01-04;0600;-1.171;
2020-01-04;0700;-2.083;
2020-01-04;0800;-3.388;
2020-01-04;0900;-3.538;
2020-01-04;1000;56.531;
2020-01-04;1100;631.229;
2020-01-04;1200;1444.303;
2020-01-04;1300;2235.709;
2020-01-04;1400;2658.171;
2020-01-04;1500;2008.042;
2020-01-04;1600;1368.58;
2020-01-04;1700;2624.399;
2020-01-04;1800;2955.459;
2020-01-04;1900;2096.617;
2020-01-04;2000;2038.656;
2020-01-04;2100;1153.417;
2020-01-04;2200;368.318;
2020-01-04;2300;14.618;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.482;
2020-01-05;0300;-3.478;
2020-01-05;0400;-3.514;
2020-01-05;0500;-3.54;
2020-01-05;0600;-3.312;
2020-01-05;0700;-3.54;
2020-01-05;0800;-3.54;
2020-01-05;0900;-3.54;
2020-01-05;1000;35.958;
2020-01-05;1100;600.313;
2020-01-05;1200;1482.548;
2020-01-05;1300;2311.372;
2020-01-05;1400;2078.036;
2020-01-05;1500;2961.655;
2020-01-05;1600;1617.584;
2020-01-05;1700;1805.468;
2020-01-05;1800;1325.685;
2020-01-05;1900;2521.486;
2020-01-05;2000;1998.151;
2020-01-05;2100;1092.674;
2020-01-05;2200;377.635;
2020-01-05;2300;24.932;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.386;
2020-01-06;0200;-3.231;
2020-01-06;0300;-3.085;
2020-01-06;0400;-3.39;
2020-01-06;0500;-3.54;
2020-01-06;0600;-3.315;
2020-01-06;0700;-3.252;
2020-01-06;0800;-2.514;
2020-01-06;0900;-2.739;
2020-01-06;1000;27.066;
2020-01-06;1100;302.954;
2020-01-06;1200;1296.851;
2020-01-06;1300;1831.905;
2020-01-06;1400;2354.011;
2020-01-06;1500;1732.895;
2020-01-06;1600;1955.71;
2020-01-06;1700;2189.545;
2020-01-06;1800;2181.597;
2020-01-06;1900;2402.363;
2020-01-06;2000;1522.291;
2020-01-06;2100;1317.166;
2020-01-06;2200;420.348;
2020-01-06;2300;17.071;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.259;
2020-01-07;0200;-1.723;
2020-01-07;0300;-1.813;
2020-01-07;0400;-2.39;
2020-01-07;0500;-2.956;
2020-01-07;0600;-2.692;
2020-01-07;0700;-3.521;
2020-01-07;0800;-3.534;
2020-01-07;0900;-2.811;
2020-01-07;1000;35.384;
2020-01-07;1100;492.587;
2020-01-07;1200;1266.611;
2020-01-07;1300;857.433;
2020-01-07;1400;2882.229;
2020-01-07;1500;2826.411;
2020-01-07;1600;3000.867;
2020-01-07;1700;2929.872;
2020-01-07;1800;2045.331;
2020-01-07;1900;1363.707;
2020-01-07;2000;596.245;
2020-01-07;2100;234.332;
2020-01-07;2200;57.921;
2020-01-07;2300;2.269;
2020-01-08;0000;.427;
2020-01-08;0100;-.531;
2020-01-08;0200;-.79;
2020-01-08;0300;-.946;
2020-01-08;0400;-1.179;
2020-01-08;0500;-1.753;
2020-01-08;0600;-.81;
2020-01-08;0700;1.566;
2020-01-08;0800;1.697;
2020-01-08;0900;-1.19;
2020-01-08;1000;23.763;
2020-01-08;1100;295.91;
2020-01-08;1200;729.657;
2020-01-08;1300;1873.637;
2020-01-08;1400;2175.192;
2020-01-08;1500;2130.357;
2020-01-08;1600;1393.323;
2020-01-08;1700;1626.853;
2020-01-08;1800;1010.712;
2020-01-08;1900;2445.478;
2020-01-08;2000;2448.24;
2020-01-08;2100;410.026;
2020-01-08;2200;155.619;
2020-01-08;2300;11.083;
2020-01-09;0000;.722;
2020-01-09;0100;-.06;
2020-01-09;0200;-2.067;
2020-01-09;0300;-3.214;
2020-01-09;0400;-3.424;
2020-01-09;0500;-3.465;
2020-01-09;0600;-3.426;
2020-01-09;0700;-2.971;
2020-01-09;0800;-2.381;
2020-01-09;0900;-2.155;
2020-01-09;1000;7.157;
2020-01-09;1100;110.927;
2020-01-09;1200;390.612;
2020-01-09;1300;1135.412;
2020-01-09;1400;2226.035;
2020-01-09;1500;2223.265;
2020-01-09;1600;2779.325;
2020-01-09;1700;2936.676;
2020-01-09;1800;3200.02;
2020-01-09;1900;592.881;
2020-01-09;2000;131.125;
2020-01-09;2100;94.794;
2020-01-09;2200;51.08;
2020-01-09;2300;20.743;
2020-01-10;0000;1.709;
2020-01-10;0100;-1.873;
2020-01-10;0200;-.958;
2020-01-10;0300;-1.183;
2020-01-10;0400;-1.144;
2020-01-10;0500;-2.59;
2020-01-10;0600;-2.077;
2020-01-10;0700;-1.882;
2020-01-10;0800;-.773;
2020-01-10;0900;-.742;
2020-01-10;1000;29.179;
2020-01-10;1100;337.798;
2020-01-10;1200;946.064;
2020-01-10;1300;1577.527;
2020-01-10;1400;1918.363;
2020-01-10;1500;3367.131;
2020-01-10;1600;3145.529;
2020-01-10;1700;1158.15;
2020-01-10;1800;1363.028;
2020-01-10;1900;2884.235;
2020-01-10;2000;1423.757;
2020-01-10;2100;739.614;
2020-01-10;2200;455.263;
2020-01-10;2300;25.449;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.534;
2020-01-11;0200;-3.538;
2020-01-11;0300;-3.162;
2020-01-11;0400;-3.149;
2020-01-11;0500;-2.969;
2020-01-11;0600;-3.173;
2020-01-11;0700;-3.514;
2020-01-11;0800;-3.467;
2020-01-11;0900;-3.179;
2020-01-11;1000;23.8;
2020-01-11;1100;357.888;
2020-01-11;1200;1342.579;
2020-01-11;1300;2110.088;
2020-01-11;1400;2511.182;
2020-01-11;1500;3297.485;
2020-01-11;1600;988.671;
