Nome: CACOAL
Codigo Estacao: A939
Latitude: -11.44583333
Longitude: -61.43416666
Altitude: 183.53
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;27.4;988.195833;22.008333;29.2;24.729167;22.7;85.541667;61;6.9;1.254167;
2020-01-02;50.2;989.058333;22.170833;29.8;24.891667;21.5;85.458333;64;7.1;1.475;
2020-01-03;4.4;990.245833;21.970833;32.4;26.104167;23;79.5;49;7.3;1.475;
2020-01-04;.4;989.420833;22.229167;31.3;25.604167;23.5;82.208333;59;10.9;1.708333;
2020-01-05;66.2;988.1125;21.983333;31.1;25.625;22.2;81.416667;57;9.9;1.870833;
2020-01-06;.2;986.8;22.154167;33.3;26.979167;23.1;76.291667;48;7.7;1.708333;
2020-01-07;0;987.1875;22.933333;34.2;28.029167;24.8;75.041667;50;10.1;1.908333;
2020-01-08;5.2;989.0125;22.416667;33.5;26.891667;24;77.375;49;8.6;1.683333;
2020-01-09;0;989.9125;21.875;33.5;26.4;24;77.416667;49;8.8;1.808333;
2020-01-10;.6;989.095833;22.308333;32.4;26.3625;23.4;79.333333;49;8.1;1.433333;
2020-01-11;7.8;988.05;23.1;34.3;27.504167;24;78.541667;46;7.3;.991667;
2020-01-12;11.4;989.483333;22.570833;28.8;25.0125;23.4;86.666667;67;6.6;1.466667;
2020-01-13;26;989.770833;22.179167;31.1;25.570833;22.8;82.541667;57;5.8;1.108333;
2020-01-14;5.6;989.325;21.9375;34.1;27.2;22.7;75.375;46;6.7;1.3625;
2020-01-15;0;988.245833;21.820833;34.8;28.570833;23.3;69.125;45;4.8;1.041667;
2020-01-16;9.4;990.154167;21.433333;35.1;27.579167;21.5;71.333333;40;12.9;1.525;
2020-01-17;2.2;991.266667;21.5;33;26.808333;22.9;74.833333;44;10.2;.970833;
2020-01-18;.2;989.879167;22.6;35.2;28.558333;24.4;71.833333;44;6.5;1.025;
2020-01-19;0;988.808333;22.791667;36;28.9625;24.2;71.25;39;8.8;1.229167;
2020-01-20;.8;988.3;22.645833;34.3;28.154167;24.7;73.166667;49;9.8;1.183333;
2020-01-21;0;987.1875;22.125;33.8;27.429167;23.4;74.166667;49;9.8;1.8875;
2020-01-22;0;987.170833;22.2125;33.4;26.470833;24.2;78.458333;50;12.4;1.920833;
2020-01-23;16.8;987.0375;22.2375;32.6;26.845833;23;77.458333;53;8.4;2.120833;
2020-01-24;0;986.395833;22.316667;33.8;27.595833;24.1;74.166667;48;8.2;1.304167;
2020-01-25;9.2;988.166667;22.058333;33.7;27.070833;22.7;75.333333;51;9.9;1.441667;
2020-01-26;0;988.191667;22.2;33.2;26.133333;23.1;80.166667;50;9.5;1.358333;
2020-01-27;4;987.795833;22.820833;34.4;27.7125;22.7;76.416667;50;6.4;1.1;
2020-01-28;4.8;987.945833;22.579167;30.8;27.058333;24.3;77.25;54;8;1.654167;
2020-01-29;2;988.9875;21.920833;33.3;27.1375;23;74.708333;49;9.5;2.091667;
2020-01-30;3.6;990.391667;22.125;31.9;26.945833;23.4;76.083333;53;8.8;1.7625;
2020-01-31;0;990.391667;21.975;34.4;27.65;23.3;72.666667;46;5.2;1.4375;
2020-02-01;1.4;989.95;22.416667;35.3;27.5875;24.2;75.25;44;7.4;1.254167;
2020-02-02;.2;989.916667;21.616667;35.3;27.208333;22.5;73.458333;45;9.6;1.204167;
2020-02-03;0;989.9375;22.479167;34.2;28.095833;24.5;73.125;48;7.4;1.495833;
2020-02-04;43.4;990.225;21.8125;32.5;26.304167;23;78.208333;48;7.8;1.8625;
2020-02-05;0;989.170833;22.183333;32;26.441667;23.9;78.25;56;7.1;1.479167;
2020-02-06;0;989.508333;21.858333;33.7;27.520833;24.4;72.833333;46;7.7;1.675;
2020-02-07;8;988.820833;22.204167;32.5;26.3875;23.8;78.75;52;10;1.904167;
2020-02-08;2.8;989.045833;21.916667;28.5;25.4;23.1;81.5;66;9.7;2.0625;
2020-02-09;.2;989.925;21.020833;29.1;26.008333;23.6;74.916667;55;6.4;1.366667;
2020-02-10;0;990.254167;21.745833;33.8;26.291667;22.7;77.75;47;7.8;1.5;
2020-02-11;110.2;990.358333;22.116667;33.3;26.7875;23;77.625;47;6.8;1.0625;
2020-02-12;0;988.958333;22.4625;32.9;26.395833;24;79.791667;55;10;1.579167;
2020-02-13;10;989.3375;21.8125;31.7;25.695833;22.8;80.625;52;8.7;1.6;
2020-02-14;2;989.008333;21.575;34.8;27.441667;22.3;73;43;6;1.020833;
2020-02-15;0;988.625;22.341667;34;28.275;24.5;71.875;46;7;1.6875;
2020-02-16;25.8;988.308333;22.583333;33.2;26.7625;22.7;79.125;50;8.6;1.370833;
2020-02-17;0;987.766667;21.454167;34.7;27.758333;22.4;72.041667;42;7.3;1.179167;
2020-02-18;0;987.766667;22.779167;35.9;29.075;24.6;70.625;42;8;1.279167;
2020-02-19;1.6;987.845833;22.95;33.6;27.458333;25;77.458333;52;8;1.483333;
2020-02-20;1.2;987.216667;23.183333;32.3;26.945833;24.4;80.583333;56;7.1;1.291667;
2020-02-21;53.2;988.366667;22.6;30.2;25.054167;22.8;86.625;62;8.7;1.066667;
2020-02-22;68;989.15;21.65;25;23.4625;22.6;89.708333;81;9.3;2.2;
2020-02-23;10.6;990.641667;20.058333;26.9;22.558333;19.9;85.916667;75;3.7;.85;
2020-02-24;5.6;989.145833;22.3125;31.6;26.208333;21.4;80.291667;57;5.8;1.120833;
2020-02-25;4.4;989.1;22.033333;33.1;26.833333;23.2;76.625;48;7.5;1.341667;
