Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;903.791667;19.466667;31.5;23.225;19.4;82.166667;40;11.5;1.766667;
2020-01-02;9.8;904.4625;19.470833;25.1;20.570833;19.3;93.625;76;8.9;1.179167;
2020-01-03;35.2;908.065217;16.56087;22.9;18.595652;16.8;88.26087;68;7.8;.973913;
2020-01-04;1.4;906.625;16.95;23.1;17.9375;16.6;94.166667;75;10.6;.879167;
2020-01-05;9;904.473913;16.104348;24.7;18.295652;13.3;88.130435;61;5.2;.995652;
2020-01-06;0;904.283333;17.195833;29.8;21.920833;17.6;77.291667;40;8.4;1.283333;
2020-01-07;0;905.625;19.158333;28.6;22.091667;18.1;84.333333;55;12.3;1.3875;
2020-01-08;6.8;906.552174;20.247826;28.1;22.091304;19.4;89.956522;61;6;1.156522;
2020-01-09;.4;907.658333;20.270833;30.2;22.645833;19.6;87.708333;56;10.4;1.4125;
2020-01-10;61.2;907.220833;21.0125;29.7;22.7875;20;90.5;62;6.3;1.025;
2020-01-11;6;906.486957;20.395652;29.3;22.586957;20.2;88.652174;57;13.5;1.26087;
2020-01-12;12.6;909.165217;20.113043;28.4;21.73913;19.6;91;62;7.8;1.165217;
2020-01-13;.2;911.095652;17.726087;26.4;20.869565;17.7;83.26087;57;7.6;1.330435;
2020-01-14;0;null;null;24.9;null;15;85.466667;54;6.8;null;
2020-01-15;null;null;null;null;null;null;68.416667;56;7.1;null;
2020-01-16;0;909.270833;20.025;31.3;22.8375;19;85.291667;53;14.1;1.258333;
2020-01-17;14.8;913.666667;15.120833;20.3;16.275;15.5;92.833333;83;9.6;1.6625;
2020-01-18;null;914.105;15.56;20.5;null;14.9;89.4;77;7.2;1.485;
2020-01-19;null;911.73;16.695;25.7;null;15.7;86.8;63;6.2;1.345;
2020-01-20;.2;909.168182;17.086364;25.2;20.359091;17.4;82.681818;57;5.6;1.309091;
2020-01-21;0;906.495652;16.1;24.2;19.334783;15.3;82.782609;59;6.8;1.369565;
2020-01-22;null;906.114286;15.257143;19.3;null;15.7;88;74;7.6;1.514286;
2020-01-23;null;905.047619;16.157143;21.8;null;15.6;89.238095;74;6.6;1.228571;
2020-01-24;.6;904.129167;15.7625;22.8;18.158333;15.7;86.416667;66;7;1.458333;
2020-01-25;null;905.411111;12.8;27.7;null;12.1;66.833333;30;6.6;1.211111;
2020-01-26;0;906.421739;14.26087;30.2;20.921739;12.4;72.217391;29;6.5;1.030435;
2020-01-27;null;906.940909;16.327273;30.1;23.945455;17.1;65.227273;38;7.1;1.718182;
2020-01-28;0;907.979167;18.433333;28.2;21.154167;17.1;85.458333;62;7.5;1.325;
