Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.462;
2020-01-01;0200;-2.323;
2020-01-01;0300;-1.582;
2020-01-01;0400;-1.321;
2020-01-01;0500;-1.91;
2020-01-01;0600;-3.224;
2020-01-01;0700;-2.953;
2020-01-01;0800;-3.316;
2020-01-01;0900;2.434;
2020-01-01;1000;180.368;
2020-01-01;1100;776.783;
2020-01-01;1200;1708.362;
2020-01-01;1300;2211.644;
2020-01-01;1400;3229.788;
2020-01-01;1500;3629.52;
2020-01-01;1600;3651.791;
2020-01-01;1700;3878.56;
2020-01-01;1800;1187.354;
2020-01-01;1900;673.721;
2020-01-01;2000;975.585;
2020-01-01;2100;408.205;
2020-01-01;2200;274.253;
2020-01-01;2300;4.124;
2020-01-02;0000;-3.336;
2020-01-02;0100;-3.102;
2020-01-02;0200;-2.18;
2020-01-02;0300;-3.358;
2020-01-02;0400;-2.34;
2020-01-02;0500;-2.158;
2020-01-02;0600;-1.958;
2020-01-02;0700;-2.384;
2020-01-02;0800;-2.544;
2020-01-02;0900;5.436;
2020-01-02;1000;307.996;
2020-01-02;1100;1070.658;
2020-01-02;1200;1204.702;
2020-01-02;1300;1403.357;
2020-01-02;1400;1171.063;
2020-01-02;1500;157.121;
2020-01-02;1600;332.767;
2020-01-02;1700;545.899;
2020-01-02;1800;273.031;
2020-01-02;1900;1101.382;
2020-01-02;2000;622.685;
2020-01-02;2100;171.775;
2020-01-02;2200;94.018;
2020-01-02;2300;.088;
2020-01-03;0000;-3.012;
2020-01-03;0100;-2.373;
2020-01-03;0200;-2.5;
2020-01-03;0300;-1.322;
2020-01-03;0400;-2.383;
2020-01-03;0500;-1.969;
2020-01-03;0600;-1.915;
2020-01-03;0700;null;
2020-01-03;0800;-3.247;
2020-01-03;0900;4.015;
2020-01-03;1000;182.311;
2020-01-03;1100;587.019;
2020-01-03;1200;1003.732;
2020-01-03;1300;1778.267;
2020-01-03;1400;1659.065;
2020-01-03;1500;2698.52;
2020-01-03;1600;2586.085;
2020-01-03;1700;1234.435;
2020-01-03;1800;623.423;
2020-01-03;1900;516.61;
2020-01-03;2000;418.972;
2020-01-03;2100;255.515;
2020-01-03;2200;164.245;
2020-01-03;2300;3.913;
2020-01-04;0000;-3.562;
2020-01-04;0100;-3.409;
2020-01-04;0200;-3.298;
2020-01-04;0300;-2.658;
2020-01-04;0400;-3.592;
2020-01-04;0500;-3.593;
2020-01-04;0600;-1.528;
2020-01-04;0700;-1.651;
2020-01-04;0800;-1.867;
